symbol,tier,listing_days,r2_btc,beta_btc,realized_vol_annual,kurt_trimmed
BANANAS31USDT,whale,420,0.06564974341981367,1.2001324838085983,2.006114383492609,13.330450461733026
BANANAUSDT,trend,663,0.36491027856832864,1.6023490265730536,1.2331942770629947,4.880705905538346
BANDUSDT,trend,1093,0.3368256860700841,1.189998716593527,0.9586683937028184,5.0147851521950715
BANKUSDT,trend,391,0.04681072744182936,0.8153067534604203,1.585405827486351,8.78044057572082
BANUSDT,trend,542,0.03404204357019708,0.7663465574036705,1.8549264680600528,7.058029474978637
BARDUSDT,junk,238,0.0690435521682369,0.8306738284926073,1.4945814342078465,22.330341748564653
BASEDUSDT,junk,45,0.005626953336899093,0.8114206274850415,3.579185099792996,11.324789123171291
BASUSDT,junk,261,0.01274596215364132,0.842332358856029,3.4059381300927316,11.035297219161242
BATUSDT,trend,1093,0.39670462942260604,1.1329803970701608,0.8410334697625456,4.313421800705776
BAUSDT,junk,35,9.4206770467147e-05,0.009958357864277888,0.3335654147147615,2.711871483634807
BBUSDT,trend,731,0.33699502293135264,1.7222507135539116,1.376941203933263,5.228288797762691
BCHUSDT,trend,1093,0.34355492293576906,1.0884158178871068,0.8682029848059444,6.068859752648733
BEAMUSDT,trend,792,0.45544767304130984,1.4978985477247735,1.0595624682939488,3.454140752103317
BEATUSDT,junk,183,0.010450600861929202,0.5971628672080034,2.8608744352420787,6.373023385838872
BELUSDT,trend,1093,0.21180369412107888,1.0635017057884044,1.0804282805839178,6.423663933886292
BERAUSDT,trend,462,0.20879150395292884,1.5662166957023227,1.5338901061746153,9.170152225547085
BEUSDT,junk,22,,,,
BGBUSDT,trend,678,0.2309192137426633,0.713711341610719,0.692068059064041,7.824896132949477
BICOUSDT,trend,721,0.3738079139198767,1.3580064757077626,1.0208132918920099,3.7358668219788873
BIGTIMEUSDT,trend,945,0.2410472710291491,1.4473443225787288,1.4237283980125335,7.478266467721688
BILLUSDT,junk,8,,,,
BIOUSDT,trend,496,0.21525086490859324,1.7727170375237338,1.7089288695500504,9.662461279501052
BIRBUSDT,junk,105,0.32935738544136905,1.4169444871665537,1.3685610181494297,10.096629931160432
BLESSUSDT,junk,233,0.00819016779765014,1.4486856621008803,7.6332044069622285,61.72705173955754
