feature,quantile,horizon,n,mean,median,win,std
body_to_range,"(0.894, 1.0]",fwd_ret_672h,1139,0.00592577619787647,-0.08191081116845311,0.3942054433713784,0.4716317134499363
close_to_high_pct,"(-0.001, 0.00309]",fwd_ret_4h,1263,0.0017082544389202486,-5.8275058275159e-05,0.49406175771971494,0.03295995209594238
close_to_high_pct,"(-0.001, 0.00309]",fwd_ret_24h,1261,0.0018683436656555714,-0.0034910783553140368,0.464710547184774,0.07882039713581837
close_to_high_pct,"(-0.001, 0.00309]",fwd_ret_72h,1259,0.0005169100308773045,-0.014146341463414758,0.4328832406671962,0.1256334662390488
close_to_high_pct,"(-0.001, 0.00309]",fwd_ret_168h,1234,0.011685437577322655,-0.01726608647023875,0.4627228525121556,0.22293907156114084
close_to_high_pct,"(-0.001, 0.00309]",fwd_ret_336h,1187,0.0352352161413381,-0.028709288299155644,0.45071609098567816,0.3177231810417501
close_to_high_pct,"(-0.001, 0.00309]",fwd_ret_672h,1127,0.024458812619877902,-0.0684500393391031,0.4161490683229814,0.43138254862398134
close_to_high_pct,"(0.00309, 0.00721]",fwd_ret_4h,1262,0.0013424067007534132,-0.0011123196356616627,0.4809825673534073,0.047091507093302655
close_to_high_pct,"(0.00309, 0.00721]",fwd_ret_24h,1261,0.0011027893984937559,-0.00984822152705378,0.4345757335448057,0.08479411020045466
close_to_high_pct,"(0.00309, 0.00721]",fwd_ret_72h,1259,0.0006479554542222819,-0.01811224489795915,0.42652899126290705,0.15869899530045833
close_to_high_pct,"(0.00309, 0.00721]",fwd_ret_168h,1246,0.006039512851026904,-0.029810883428979418,0.41653290529695025,0.23759668562350486
close_to_high_pct,"(0.00309, 0.00721]",fwd_ret_336h,1208,0.020279370651006212,-0.044827138708569414,0.41307947019867547,0.34140637953170294
close_to_high_pct,"(0.00309, 0.00721]",fwd_ret_672h,1163,0.023746704122861284,-0.08418620602516202,0.37833190025795355,0.5611576251378311
close_to_high_pct,"(0.00721, 0.0133]",fwd_ret_4h,1262,0.0023179195636121993,0.000542853930867504,0.5134706814580031,0.04174904005912695
close_to_high_pct,"(0.00721, 0.0133]",fwd_ret_24h,1261,-0.00028474927847604755,-0.007936507936507908,0.4321966693100714,0.08757287330909459
close_to_high_pct,"(0.00721, 0.0133]",fwd_ret_72h,1256,0.004089947015943445,-0.014379459362853009,0.44745222929936307,0.1532599300615699
close_to_high_pct,"(0.00721, 0.0133]",fwd_ret_168h,1238,0.003991759280387074,-0.024947085522209922,0.4321486268174475,0.22436884893451864
close_to_high_pct,"(0.00721, 0.0133]",fwd_ret_336h,1197,0.02969533316580567,-0.04168865435356195,0.4327485380116959,0.37465129807796194
close_to_high_pct,"(0.00721, 0.0133]",fwd_ret_672h,1146,0.03387475819506142,-0.06720434990054658,0.4040139616055846,0.520234747303186
close_to_high_pct,"(0.0133, 0.0247]",fwd_ret_4h,1263,-0.0007456566184895562,-0.0015698587127158659,0.4639746634996041,0.04801563190329188
close_to_high_pct,"(0.0133, 0.0247]",fwd_ret_24h,1262,-0.0015703429386812742,-0.013168798504304302,0.4183835182250396,0.10160149331971195
close_to_high_pct,"(0.0133, 0.0247]",fwd_ret_72h,1262,0.003950875532721492,-0.020337533232058502,0.43026941362916005,0.1648641117295077
close_to_high_pct,"(0.0133, 0.0247]",fwd_ret_168h,1248,0.012582629504110066,-0.029871292345531986,0.4310897435897436,0.2524419217159023
close_to_high_pct,"(0.0133, 0.0247]",fwd_ret_336h,1220,0.04466552573158638,-0.046293560277823276,0.4245901639344262,0.4293090280609235
close_to_high_pct,"(0.0133, 0.0247]",fwd_ret_672h,1190,0.04905582725620417,-0.07695299218942853,0.38487394957983195,0.6205985860848476
close_to_high_pct,"(0.0247, 0.7]",fwd_ret_4h,1263,-0.0005128639722462691,-0.0019706860450793284,0.4750593824228028,0.06007676758158373
close_to_high_pct,"(0.0247, 0.7]",fwd_ret_24h,1260,-0.007823198777397677,-0.015593496451381195,0.40555555555555556,0.12675109915432745
close_to_high_pct,"(0.0247, 0.7]",fwd_ret_72h,1259,-0.009749422148633046,-0.027666932694865753,0.4011119936457506,0.19365881526491244
close_to_high_pct,"(0.0247, 0.7]",fwd_ret_168h,1244,-0.01023849808993374,-0.04495881109612049,0.3858520900321543,0.26208307914185774
close_to_high_pct,"(0.0247, 0.7]",fwd_ret_336h,1202,0.008586898696127585,-0.06314760074884224,0.39767054908485855,0.35398525972998535
close_to_high_pct,"(0.0247, 0.7]",fwd_ret_672h,1149,0.02074638152057919,-0.11170362054448513,0.3577023498694517,0.673953444259404
vs_24h_high_pct,"(-0.201, 0.00679]",fwd_ret_4h,1261,0.0033563973598572184,0.00011646866992776062,0.5011895321173672,0.05189493769501102
vs_24h_high_pct,"(-0.201, 0.00679]",fwd_ret_24h,1259,0.006312111099444111,-0.005884949242312754,0.45432883240667193,0.10161316137901606
vs_24h_high_pct,"(-0.201, 0.00679]",fwd_ret_72h,1257,0.007485752079458319,-0.008858340072043003,0.4709626093874304,0.16660558785645305
vs_24h_high_pct,"(-0.201, 0.00679]",fwd_ret_168h,1225,0.011749591176259296,-0.022758941012540612,0.4424489795918367,0.2667664331957499
vs_24h_high_pct,"(-0.201, 0.00679]",fwd_ret_336h,1190,0.022192163070043288,-0.04702631787578665,0.4319327731092437,0.34154686970264464
vs_24h_high_pct,"(-0.201, 0.00679]",fwd_ret_672h,1136,0.03681257948528939,-0.08610317300416753,0.38380281690140844,0.6103058008101743
vs_24h_high_pct,"(0.00679, 0.0237]",fwd_ret_4h,1263,0.001625236991727702,0.00011865915158693063,0.5019794140934284,0.03376317147630162
vs_24h_high_pct,"(0.00679, 0.0237]",fwd_ret_24h,1261,-0.00019230198132563588,-0.007513661202185773,0.43616177636796194,0.08359176539756534
vs_24h_high_pct,"(0.00679, 0.0237]",fwd_ret_72h,1257,0.001768954619855072,-0.015294117647058791,0.42482100238663484,0.1406233942117508
vs_24h_high_pct,"(0.00679, 0.0237]",fwd_ret_168h,1244,0.00404204290627093,-0.031482058596349005,0.4172025723472669,0.20990808751229015
vs_24h_high_pct,"(0.00679, 0.0237]",fwd_ret_336h,1191,0.024096564998917883,-0.04148397976391227,0.42401343408900083,0.3382473860627127
vs_24h_high_pct,"(0.00679, 0.0237]",fwd_ret_672h,1156,0.009215212734457984,-0.07344624776257036,0.38494809688581316,0.46290870739233714
