body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.01,2.0,168,336,7583,-0.026540360296472942,-0.0734193571543944,0.32876170381115655,0.3248836995626769
0.01,2.0,168,672,6987,-0.04840672448653357,-0.11694326514859121,0.28252468870759984,0.5487366197855044
0.02,1.0,24,4,7753,-0.00010925018663104284,-0.001091305929428965,0.4781374951631627,0.046098764129418476
0.02,1.0,24,12,7750,-0.0020054009648546776,-0.0051731611135587,0.4443870967741935,0.080584593785224
0.02,1.0,24,24,7740,-0.005006605477473925,-0.01130100608065937,0.4138242894056848,0.10836471767114159
0.02,1.0,24,72,7706,-0.013025214450451985,-0.02498926816851288,0.40020763041785623,0.15811015757369073
0.02,1.0,24,168,7504,-0.023217185837577595,-0.055912290527501296,0.3567430703624733,0.23680909668608174
0.02,1.0,24,336,7040,-0.02536141759241204,-0.08068406467770817,0.3268465909090909,0.35262525384376986
0.02,1.0,24,672,6497,-0.044677101780428476,-0.13201391909525884,0.2832076342927505,0.5997695259015198
0.02,1.0,168,4,7783,-0.00015040219424505418,-0.0011235955056178026,0.4777078247462418,0.04614915756690016
0.02,1.0,168,12,7780,-0.0021732558520102018,-0.0051731611135587,0.4442159383033419,0.08090668122134205
0.02,1.0,168,24,7770,-0.005182730499508263,-0.01130100608065937,0.4137709137709138,0.10869406266251755
0.02,1.0,168,72,7736,-0.013303458809846994,-0.025176127314560703,0.3996897621509824,0.1582783001396782
0.02,1.0,168,168,7534,-0.02349174982230032,-0.05595232110917253,0.3563843907618795,0.23670683164327477
0.02,1.0,168,336,7070,-0.025658335815115528,-0.08073685788982993,0.3265912305516266,0.35236301731340736
0.02,1.0,168,672,6526,-0.045308119420031906,-0.13262802865102147,0.28256205945448976,0.598941375386266
0.02,2.0,24,4,5819,-3.4764761810627555e-05,-0.0012370113805046934,0.47688606289740504,0.045587195841476136
0.02,2.0,24,12,5817,-0.0016276959552330556,-0.00458470237640396,0.45109162798693486,0.07980689747121543
0.02,2.0,24,24,5805,-0.00468240666319721,-0.01037891268533786,0.4201550387596899,0.10114291950234705
0.02,2.0,24,72,5784,-0.01152149701305505,-0.024337093905647145,0.40127939142461966,0.16032419094070519
0.02,2.0,24,168,5626,-0.02258201562964763,-0.05461343620083642,0.3581585495911838,0.23922690562364465
