strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1w,60,h78_tr20_TPx_SL15_cutN,78,0.2,0.0,-0.15,False,81,59.3,35.16,17.7,43.7,2337096750.2,-58.9,1.86,7.69
trend_chase,1w,60,h52_tr25_TP30_SL15_cutY,52,0.25,0.3,-0.15,True,81,60.5,11.15,11.03,26.7,100802.9,-48.2,1.85,3.19
trend_chase,1w,60,h26_tr25_TP30_SL20_cutN,26,0.25,0.3,-0.2,False,81,66.7,10.85,11.03,20.5,90130.0,-45.7,1.85,3.57
trend_chase,1w,60,h39_tr20_TP40_SLx_cutN,39,0.2,0.4,,False,81,61.7,12.85,6.29,30.8,228246.3,-65.3,1.85,3.99
trend_chase,1w,60,h52_tr20_TP30_SL15_cutY,52,0.2,0.3,-0.15,True,81,59.3,10.88,10.38,26.0,87135.9,-48.2,1.84,3.21
trend_chase,1w,60,h52_tr15_TP25_SL20_cutN,52,0.15,0.25,-0.2,False,81,59.3,10.68,16.02,25.5,75737.8,-49.1,1.84,3.07
trend_chase,1w,60,h52_tr15_TP30_SL20_cutN,52,0.15,0.3,-0.2,False,81,59.3,11.84,8.44,27.3,132736.4,-49.1,1.83,3.29
trend_chase,1w,60,h39_tr25_TP40_SLx_cutN,39,0.25,0.4,,False,81,61.7,12.83,7.44,31.9,215308.0,-73.2,1.83,3.83
trend_chase,1w,60,h52_tr15_TPx_SLx_cutN,52,0.15,0.0,,False,81,59.3,15.98,7.83,35.0,880720.2,-67.2,1.83,4.4
trend_chase,1w,60,h39_tr20_TP25_SLx_cutY,39,0.2,0.25,,True,81,58.0,9.52,8.16,23.2,45075.2,-37.3,1.83,3.33
trend_chase,1w,60,h39_tr25_TP25_SL20_cutN,39,0.25,0.25,-0.2,False,81,64.2,10.01,9.54,26.1,54187.0,-49.8,1.83,3.18
trend_chase,1w,60,h39_tr25_TP25_SLx_cutY,39,0.25,0.25,,True,81,59.3,9.62,8.33,24.0,46897.6,-41.8,1.83,3.28
trend_chase,1w,60,h39_tr20_TP25_SL20_cutN,39,0.2,0.25,-0.2,False,81,63.0,9.91,8.63,25.4,52081.9,-45.9,1.83,3.22
trend_chase,1w,60,h26_tr20_TP40_SL20_cutN,26,0.2,0.4,-0.2,False,81,65.4,11.69,6.54,21.5,132824.2,-45.7,1.82,3.81
trend_chase,1w,60,h78_tr15_TP30_SL20_cutY,78,0.15,0.3,-0.2,True,81,53.1,11.73,6.31,25.6,127715.7,-50.8,1.82,3.27
trend_chase,1w,60,h78_tr15_TP25_SL20_cutY,78,0.15,0.25,-0.2,True,81,53.1,10.56,24.89,23.6,71270.6,-51.5,1.82,3.04
trend_chase,1w,60,h78_tr15_TPx_SL20_cutY,78,0.15,0.0,-0.2,True,81,51.9,22.08,5.01,33.2,11772960.2,-49.5,1.81,5.22
trend_chase,1w,60,h39_tr20_TP40_SL20_cutN,39,0.2,0.4,-0.2,False,81,61.7,12.65,6.29,28.9,198910.7,-54.3,1.81,3.81
trend_chase,1w,60,h78_tr15_TP40_SL15_cutY,78,0.15,0.4,-0.15,True,81,50.6,13.24,0.96,26.8,248367.6,-56.4,1.8,3.47
trend_chase,1w,60,h39_tr20_TP30_SLx_cutN,39,0.2,0.3,,False,81,61.7,10.95,8.16,28.7,84490.0,-56.2,1.8,3.55
trend_chase,1w,60,h39_tr25_TP40_SL20_cutN,39,0.25,0.4,-0.2,False,81,61.7,12.62,7.44,30.0,187634.5,-64.6,1.8,3.66
trend_chase,1w,60,h26_tr20_TP25_SLx_cutN,26,0.2,0.25,,False,81,66.7,9.41,11.13,20.5,36958.5,-54.8,1.79,3.17
trend_chase,1w,60,h39_tr25_TP30_SLx_cutN,39,0.25,0.3,,False,81,63.0,11.02,8.33,29.5,85708.2,-61.9,1.79,3.48
trend_chase,1w,60,h78_tr15_TP30_SL15_cutN,78,0.15,0.3,-0.15,False,81,54.3,11.57,6.61,25.5,110337.5,-56.4,1.79,3.09
trend_chase,1w,60,h26_tr20_TP30_SLx_cutN,26,0.2,0.3,,False,81,65.4,10.65,11.03,21.0,69787.7,-53.1,1.78,3.43
trend_chase,1w,60,h52_tr25_TPx_SLx_cutN,52,0.25,0.0,,False,81,66.7,30.73,17.0,45.4,444785079.9,-65.0,1.78,7.81
trend_chase,1w,60,h78_tr15_TP25_SL15_cutN,78,0.15,0.25,-0.15,False,81,54.3,10.5,25.07,23.4,64031.5,-56.4,1.78,2.89
trend_chase,1w,60,h26_tr25_TP25_SLx_cutN,26,0.25,0.25,,False,81,67.9,9.41,11.13,20.8,36392.4,-54.8,1.78,3.16
trend_chase,1w,60,h26_tr25_TP40_SL20_cutN,26,0.25,0.4,-0.2,False,81,65.4,11.52,6.54,22.0,113849.7,-48.1,1.78,3.68
trend_chase,1w,60,h78_tr15_TPx_SL15_cutN,78,0.15,0.0,-0.15,False,81,53.1,20.57,5.08,33.4,5597539.5,-56.4,1.77,4.67
trend_chase,1w,60,h26_tr25_TP30_SLx_cutN,26,0.25,0.3,,False,81,66.7,10.62,11.03,21.3,67004.2,-49.5,1.77,3.39
trend_chase,1w,60,h78_tr20_TPx_SL15_cutY,78,0.2,0.0,-0.15,True,81,55.6,32.36,5.55,40.6,622777932.5,-53.5,1.77,7.36
trend_chase,1w,60,h39_tr20_TP40_SLx_cutY,39,0.2,0.4,,True,81,56.8,11.66,4.25,26.6,122136.9,-47.0,1.76,3.82
trend_chase,1w,60,h39_tr20_TP30_SL20_cutN,39,0.2,0.3,-0.2,False,81,61.7,10.75,8.16,26.8,73622.7,-45.9,1.76,3.38
trend_chase,1w,60,h52_tr15_TP25_SLx_cutY,52,0.15,0.25,,True,81,54.3,9.7,7.83,23.6,43866.8,-42.5,1.76,3.04
trend_chase,1w,60,h52_tr20_TPx_SLx_cutN,52,0.2,0.0,,False,81,66.7,29.65,13.3,42.8,302295586.3,-59.7,1.75,8.19
