asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,quiet_bottom,1w,binary,0.25,0.2,52,trail25_TP20_hold52,370,78.1,16.97,-97.5,7.05,4.37,242,63.6,11.37,-91.5,4.52,2.52,-0.359
kr,quiet_bottom,1w,binary,0.25,0.25,52,trail25_TP25_hold52,370,73.5,18.42,-97.5,6.89,4.3,242,59.5,12.35,-91.5,4.51,2.54,-0.345
kr,quiet_bottom,1w,binary,0.25,0.3,52,trail25_TP30_hold52,370,70.0,20.31,-98.0,6.86,4.48,242,58.3,13.3,-91.5,4.66,2.65,-0.321
kr,quiet_bottom,1w,binary,0.25,0.4,52,trail25_TP40_hold52,370,66.5,23.17,-97.7,6.86,4.84,242,56.6,15.36,-91.5,4.93,2.89,-0.281
kr,quiet_bottom,1w,binary,0.25,0.5,52,trail25_TP50_hold52,370,64.6,24.94,-98.9,6.47,5.0,242,56.6,14.83,-93.9,4.6,2.83,-0.289
kr,quiet_bottom,1w,binary,0.25,,52,trail25_TPoff_hold52,370,64.1,32.64,-99.2,3.95,6.21,242,56.6,27.95,-95.9,3.44,4.44,-0.129
kr,quiet_bottom,1w,binary,0.3,0.2,52,trail30_TP20_hold52,370,78.9,16.91,-98.0,6.62,4.07,242,67.4,13.06,-91.3,5.25,2.94,-0.207
kr,quiet_bottom,1w,binary,0.3,0.25,52,trail30_TP25_hold52,370,74.6,18.51,-98.0,6.61,4.1,242,64.5,14.49,-91.3,5.34,3.01,-0.192
kr,quiet_bottom,1w,binary,0.3,0.3,52,trail30_TP30_hold52,370,71.6,20.7,-98.7,6.61,4.33,242,64.5,15.83,-91.3,5.6,3.19,-0.153
kr,quiet_bottom,1w,binary,0.3,0.4,52,trail30_TP40_hold52,370,68.4,23.74,-98.0,6.73,4.64,242,63.2,17.91,-91.3,5.78,3.43,-0.141
kr,quiet_bottom,1w,binary,0.3,0.5,52,trail30_TP50_hold52,370,64.9,25.71,-99.3,6.43,4.8,242,62.4,18.6,-91.3,5.65,3.52,-0.121
kr,quiet_bottom,1w,binary,0.3,,52,trail30_TPoff_hold52,370,63.5,32.75,-99.5,3.93,5.8,242,62.4,35.99,-95.6,3.72,5.88,-0.053
