symbol,ts_trigger,ts_pullback,ts_entry,hours_to_pullback,body_ret,vol_ratio,trigger_close,pullback_low,pullback_ma_short,entry_price,body_ret_min,vol_ratio_min,pullback_timeout_h,fwd_ret_4h,fwd_ret_12h,fwd_ret_24h,fwd_ret_72h,fwd_ret_168h,fwd_ret_336h,fwd_ret_672h,rank_group
SIRENUSDT,1773795600000,1773853200000,1773856800000,16,0.059136986301369925,2.3273776881781347,0.77317,0.87121,0.872971,0.8885,0.02,1.0,24,0.0013280810354530104,0.08012380416432197,-0.08765334833989868,0.05618458075407995,1.455205402363534,-0.7360382667416995,-0.09941474395047822,TOP
UBUSDT,1777392000000,1777406400000,1777410000000,4,0.06912527798369157,2.6601334944161743,0.05769,0.05414,0.054220000000000004,0.05469,0.02,1.0,24,0.04187237154872925,0.10202962150301698,0.17334064728469567,0.9701956481989393,1.4145181934540134,1.9859206436277197,,TOP
ARIAUSDT,1776060000000,1776063600000,1776067200000,1,0.10721268101944531,4.7831760233875995,0.94577,0.80312,0.830701,0.92914,0.02,1.0,24,-0.1405923757453128,-0.10501108551994309,-0.05953892847148967,-0.8952041672944874,-0.9342940783950751,-0.9309576597714015,-0.9360161009105195,BOT
ARIAUSDT,1775930400000,1775952000000,1775955600000,6,0.2166486850032927,1.3804400805828987,0.86831,0.71922,0.7562230000000001,0.78392,0.02,1.0,24,-0.013445249515256608,0.19435656699663229,0.08326104704561699,-0.8380957240534748,-0.9009847943667721,-0.9195453617716094,-0.9194560669456067,BOT
ARIAUSDT,1776150000000,1776153600000,1776157200000,1,0.12729149196929632,3.0029135274791976,0.87382,0.78881,0.8032400000000001,0.79829,0.02,1.0,24,0.23447619286224297,-0.8710493680241516,-0.860489295869922,-0.8792168259655012,-0.9004121309298626,-0.9175487604755164,-0.9264427714239186,BOT
SIRENUSDT,1774404000000,1774454400000,1774458000000,14,0.16055421988131788,3.6009509168635017,1.6702,1.72,2.204003,2.14714,0.02,1.0,24,0.02925752396210779,-0.07795951824287184,-0.2176662909731083,-0.2326629842488146,-0.8942360535409895,-0.7253369598628874,-0.7032657395419022,BOT
LYNUSDT,1773144000000,1773201600000,1773205200000,16,0.039284721578800925,1.6971368803374596,0.33651,0.34379,0.345968,0.34691,0.02,1.0,24,0.0060822691764435,-0.03888616644086362,-0.5103629183361679,-0.40909746043642436,-0.8685249776599118,-0.8055403418754143,-0.8498457813265688,BOT
ARIAUSDT,1775649600000,1775692800000,1775696400000,12,0.0315232157163259,1.0410662746383432,0.59228,0.66845,0.668979,0.67932,0.02,1.0,24,0.03765530236118453,-0.7050285579697344,-0.36563033621857155,0.15397750691868328,-0.8634811281870105,-0.896160866749102,-0.9131337219572514,BOT
ARIAUSDT,1775840400000,1775869200000,1775872800000,8,0.21228574901738317,3.3156732416034456,0.59836,0.53445,0.573601,0.58046,0.02,1.0,24,-0.11866450745960089,0.09764669400130943,0.3515315439479034,0.3839368776487615,-0.8392826379078662,-0.8864004410295283,-0.8936360817282845,BOT
SIRENUSDT,1774670400000,1774702800000,1774706400000,9,0.33466659695353623,2.1320650672548647,1.53161,1.60155,1.6528839999999998,1.75582,0.02,1.0,24,-0.08413732614960523,-0.14854597851716,-0.00984155551252408,-0.4125935460354706,-0.8238942488409974,-0.5540317344602522,-0.6055518219407456,BOT
