body_ret_min,vol_ratio_min,horizon_h,n,mean,median,std,win,var_adj
0.1,3.0,168,952,-0.0349174427314211,-0.0967296396263781,0.333571187252611,0.3329831932773109,-0.5853099016982292
0.1,3.0,336,925,-0.013440241035203233,-0.1073022443567686,0.4736270182990169,0.3427027027027027,-0.7949248212285811
0.1,3.0,672,880,-0.009025037062976865,-0.1650397522682463,0.6995341872550641,0.3159090909090909,-1.1632564460338326
0.1,5.0,4,777,-0.0031499530619467737,-0.01831302863350659,0.12706483908538113,0.40540540540540543,-0.21280693755282562
0.1,5.0,12,777,-0.010368057924185338,-0.03818707810993249,0.17226896485134294,0.37065637065637064,-0.29461184992890116
0.1,5.0,24,775,-0.0192164182532418,-0.048675006530635834,0.20047045218560114,0.3496774193548387,-0.3499926643594836
0.1,5.0,72,773,-0.02612312881733683,-0.0734167002823719,0.2620513550297147,0.33247089262613194,-0.45850786461636606
0.1,5.0,168,769,-0.02951706082132326,-0.09357952161141414,0.33372961947530105,0.3381014304291287,-0.5801709329555699
0.1,5.0,336,745,-0.014441044622511973,-0.10032894736842113,0.44907917146773646,0.3395973154362416,-0.755421677544277
0.1,5.0,672,709,-0.014972289819678684,-0.16380819040952044,0.6537526691538589,0.3159379407616361,-1.0936641939235459
0.1,10.0,4,521,-0.0023013597236118135,-0.02137419480772984,0.13206277320065743,0.3934740882917466,-0.22020493550469655
0.1,10.0,12,521,-0.007881262052318436,-0.04294655753490606,0.1819628282004532,0.3704414587332054,-0.3081199285830662
0.1,10.0,24,520,-0.015582078700479472,-0.051968422424126914,0.21062667072555716,0.34807692307692306,-0.3631160853976487
0.1,10.0,72,518,-0.02255331503346815,-0.07863141746944663,0.2765874823423865,0.32432432432432434,-0.47892266089840585
0.1,10.0,168,516,-0.034772547515341014,-0.09283781094498289,0.32900537499953614,0.3236434108527132,-0.5776314162645756
0.1,10.0,336,500,-0.010620190833762972,-0.0980701398987221,0.45775643605397376,0.338,-0.7659183103228197
0.1,10.0,672,476,0.0016895213635177383,-0.14546211821834348,0.6722657120258987,0.3235294117647059,-1.107548903479215
