asset,strategy,interval,threshold,exit_rule,max_hold,trailing_pct,take_profit_pct,cut_early_neg,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
crypto,trend_chase,1d,80.0,chase_default,40,0.15,0.3,0,127,48.818897637795274,7.743803505216038,-0.5785488958990557,40455.79784237493,-73.09687200490433,0.985893899465749,2.224931007714829,22.614173228346456
crypto,trend_chase,1d,85.0,chase_default,40,0.15,0.3,0,92,42.391304347826086,5.702618121625062,-3.878068561384512,773.5840795375303,-73.09687200490433,0.6829788107930551,1.736148494461146,21.967391304347824
crypto,trend_chase,1d,90.0,chase_default,40,0.15,0.3,0,72,48.61111111111111,8.375707833700769,-2.154115052126043,2711.1758536942493,-64.4426223248579,0.9612563388400678,2.1482070730186136,21.791666666666668
crypto,trend_pullback,1d,60.0,pullback_default,65,0.15,0.3,0,3185,36.26373626373626,0.12795652679323605,-6.996454023987486,-100.0,-100.0,0.015784556661092197,1.0122506276488121,22.132182103610674
crypto,trend_pullback,1d,70.0,pullback_default,65,0.15,0.3,0,2821,36.61822048918823,-0.17784023054383408,-6.7422713660446725,-100.0,-100.0,-0.021317606515873777,0.9833762543171285,23.0538816022687
crypto,trend_pullback,1d,75.0,pullback_default,65,0.15,0.3,0,2579,36.1380379992245,-0.18736260539933147,-6.989010784100436,-100.0,-100.0,-0.02241342297812084,0.9823775318455504,23.35246219464909
crypto,trend_pullback,1d,80.0,pullback_default,65,0.15,0.3,0,2259,37.45019920318725,0.5090073625804984,-6.502013422818786,-100.0,-100.0,0.05977645954109086,1.0488129795477728,23.636564851704293
crypto,trend_pullback,1d,85.0,pullback_default,65,0.15,0.3,0,2035,37.2972972972973,0.5752460120752917,-6.330553487217672,-100.0,-100.0,0.06882973758495901,1.0563186155317006,23.604914004914004
crypto,trend_pullback,1d,90.0,pullback_default,65,0.15,0.3,0,1611,39.3544382371198,1.149030575702354,-5.247856299986897,-100.0,-100.0,0.13761604185174584,1.1167743836641946,23.9056486654252
crypto,trend_chase,1w,60.0,chase_default,8,0.15,0.3,0,68,48.529411764705884,11.090688245524005,-2.8977627691008867,4602.0392800455,-53.16118427686797,1.0084651088507006,2.4355834588914473,4.602941176470588
crypto,trend_chase,1w,70.0,chase_default,8,0.15,0.3,0,51,49.01960784313725,12.286937826241697,-1.0737864077669854,2321.5639195529734,-52.3606110004216,1.0748038938670776,2.525943348245332,4.470588235294118
crypto,trend_chase,1w,75.0,chase_default,8,0.15,0.3,0,41,43.90243902439025,14.02215071083815,-5.990391437676623,1949.5297907994025,-64.8817017926624,1.1414643395402344,2.6850725149597174,4.585365853658536
