body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.1,10.0,12,168,459,-0.025990478333618963,-0.07031250000000011,0.2580251811726214,0.3289760348583878,-0.45173202726844425
0.1,10.0,12,336,444,0.0015875847744250013,-0.08233619688720462,0.45391312983182813,0.36261261261261263,-0.7473690794480914
0.1,10.0,12,672,422,0.014957016072909042,-0.12810196548616842,0.6945472041962304,0.3412322274881517,-1.131045870850871
0.1,10.0,24,4,519,-0.0019581871271145443,-0.005963537229510929,0.07190602635241433,0.4489402697495183,-0.12060313060859819
0.1,10.0,24,12,518,-0.0019326531564830968,-0.01896884233222551,0.1562759486162928,0.37258687258687256,-0.2597879683733662
0.1,10.0,24,24,518,-0.017208790388401764,-0.03358222601638289,0.13953606015352193,0.36293436293436293,-0.24744328964171294
0.1,10.0,24,72,516,-0.0184159725824385,-0.04963494000406743,0.2317294912743696,0.3430232558139535,-0.4007696331851483
0.1,10.0,24,168,514,-0.025633027694431015,-0.06643845440412516,0.2594326053312055,0.3326848249027237,-0.45369682649092
0.1,10.0,24,336,498,0.0009199134524291923,-0.08216039649806806,0.44914246630353594,0.35943775100401604,-0.7401651559484052
0.1,10.0,24,672,473,0.015009678380830959,-0.13523914238592627,0.6953209000662932,0.3403805496828753,-1.1322698067285528
