body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.1,3.0,12,672,796,0.002685716098115006,-0.14920586305743955,0.7225165010062436,0.32663316582914576,-1.1894665105621869
0.1,3.0,24,4,962,-0.0006133391152720395,-0.002669527578918529,0.07288273971437832,0.47297297297297297,-0.12086985964399627
0.1,3.0,24,12,961,-0.004394843368360931,-0.01753831568968245,0.1413516641752438,0.3922996878251821,-0.23762508925751322
0.1,3.0,24,24,960,-0.01680350604117929,-0.030748261597745297,0.14209439638333757,0.36875,-0.25125926007368626
0.1,3.0,24,72,957,-0.01842974513079125,-0.0470950183410247,0.22856263734366353,0.361546499477534,-0.39555809674783604
0.1,3.0,24,168,950,-0.02018503388609207,-0.07255143110715767,0.29737393329792927,0.3505263157894737,-0.5108520238276754
0.1,3.0,24,336,922,-0.0006087087271371662,-0.09000492331022841,0.4633300634652798,0.3546637744034707,-0.7651033134448487
0.1,3.0,24,672,876,0.00811281788336301,-0.14920586305743955,0.72829811519263,0.3287671232876712,-1.1935790721844766
0.1,5.0,12,4,705,-8.375397750131075e-05,-0.004741209008297109,0.07394234923134115,0.46382978723404256,-0.12208863020921419
0.1,5.0,12,12,704,-0.0033374658701532316,-0.017455149158849936,0.14351422672782788,0.3835227272727273,-0.24013593997106922
0.1,5.0,12,24,703,-0.01966516913565216,-0.033333333333333326,0.1326082023077354,0.35135135135135137,-0.23846870294341557
0.1,5.0,12,72,701,-0.018075256096122018,-0.04662439388287953,0.21953552112221542,0.34807417974322397,-0.38030886594777746
0.1,5.0,12,168,697,-0.019284534190857787,-0.07297514033680841,0.28616648789337185,0.34433285509325684,-0.4914592392149213
0.1,5.0,12,336,676,-0.0023636230472538944,-0.08393487826409873,0.44048019458534454,0.35650887573964496,-0.7291559441130724
0.1,5.0,12,672,642,-0.0011326973243458067,-0.14290804637072224,0.6753035282056364,0.32554517133956384,-1.1153835188636458
0.1,5.0,24,4,775,0.0008561749075204166,-0.003918154114061823,0.07493172254156504,0.46838709677419355,-0.12278116728606188
0.1,5.0,24,12,774,-0.0012151130452717107,-0.015180459557012915,0.14332643122887329,0.3979328165374677,-0.23770372457291264
0.1,5.0,24,24,773,-0.01553335902424651,-0.030650337284694462,0.136428705738919,0.36998706338939197,-0.24064072349346285
0.1,5.0,24,72,771,-0.01647923658038734,-0.04538630326827586,0.22161600674960105,0.3540856031128405,-0.3821456477172291
0.1,5.0,24,168,767,-0.01632298358204054,-0.07031250000000011,0.289813253732026,0.34810951760104303,-0.4945148522398834
0.1,5.0,24,336,743,-0.0003373032101697909,-0.08323019801980203,0.43776326491631035,0.3566621803499327,-0.7226466903220818
0.1,5.0,24,672,706,0.0012967702695272025,-0.14401002180056727,0.6741602855984455,0.3271954674220963,-1.1110677009679077
0.1,10.0,12,4,464,-0.0022844390653567683,-0.006283864783245163,0.07120861410554546,0.44612068965517243,-0.11977865233950678
0.1,10.0,12,12,463,-0.003776326857931641,-0.024242424242424176,0.15805664475201098,0.34989200863930886,-0.26456979069874975
0.1,10.0,12,24,463,-0.02252618831553355,-0.03796311679681019,0.1337783994042481,0.3369330453563715,-0.2432605473325429
0.1,10.0,12,72,461,-0.019660401194221848,-0.05009687240520344,0.23347278493390977,0.3362255965292842,-0.40489049633517293
