body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.1,3.0,24,168,590,-0.06787587874968364,-0.10824566252704304,0.2711864406779661,0.2893102809424049
0.1,3.0,24,336,562,-0.06707071206588301,-0.13769695331587,0.2669039145907473,0.42955425486592874
0.1,3.0,24,672,516,-0.07043304081087731,-0.20804890106256768,0.24031007751937986,0.7498628057546132
0.1,5.0,12,4,452,-0.004311032098706668,-0.008453946502640808,0.4336283185840708,0.08025921914528296
0.1,5.0,12,12,451,-0.010969895869721373,-0.027181991930346205,0.35476718403547675,0.16441356469651855
0.1,5.0,12,24,450,-0.0314348876256085,-0.04236723503966067,0.31777777777777777,0.13988310760167522
0.1,5.0,12,72,448,-0.0367515967719999,-0.0723481464576346,0.3125,0.23128606430756254
0.1,5.0,12,168,444,-0.054164562253573974,-0.10999725657994441,0.2725225225225225,0.29009585264860865
0.1,5.0,12,336,423,-0.06681736917321854,-0.12767897856817156,0.27423167848699764,0.368856761956219
0.1,5.0,12,672,389,-0.07965431605322967,-0.1972161172161171,0.2365038560411311,0.6450146014245632
0.1,5.0,24,4,492,-0.001971314624607717,-0.0061159507890943265,0.4491869918699187,0.08183847379300152
0.1,5.0,24,12,491,-0.007402012875739375,-0.025073457394711007,0.3727087576374745,0.16443061338220769
0.1,5.0,24,24,490,-0.026227769980138954,-0.03826959304919014,0.336734693877551,0.14418259876226414
0.1,5.0,24,72,488,-0.037342740765475446,-0.0723481464576346,0.319672131147541,0.22797202859990837
0.1,5.0,24,168,484,-0.056224499006730225,-0.1023535709726685,0.27479338842975204,0.28358431293671027
0.1,5.0,24,336,460,-0.07067813469103267,-0.13164294669390786,0.2673913043478261,0.3660790209032684
0.1,5.0,24,672,423,-0.08994809653483177,-0.20101997450063747,0.2293144208037825,0.6277883850058721
0.1,10.0,12,4,305,-0.0065315298952311725,-0.00899100899100902,0.4131147540983607,0.07461348382106887
0.1,10.0,12,12,304,-0.010714183200966397,-0.028825408020701992,0.3256578947368421,0.1808174075873628
0.1,10.0,12,24,304,-0.032999474091447906,-0.04885303498319704,0.3092105263157895,0.13741111638607423
0.1,10.0,12,72,302,-0.036162043526887025,-0.07650338726725259,0.2980132450331126,0.24456947273973684
0.1,10.0,12,168,300,-0.06150107033083875,-0.09973318248463481,0.27,0.23748970399040353
0.1,10.0,12,336,285,-0.0672165505177267,-0.11187845303867405,0.28421052631578947,0.3258526927559066
0.1,10.0,12,672,263,-0.08361357914864424,-0.1897551711748704,0.24714828897338403,0.5829735974494248
0.1,10.0,24,4,337,-0.004759819384594088,-0.007746933505487386,0.42729970326409494,0.07649276876389437
0.1,10.0,24,12,336,-0.007609078635878096,-0.02540023291559329,0.35119047619047616,0.17901869328109338
0.1,10.0,24,24,336,-0.026778488753955002,-0.04312323481152247,0.3333333333333333,0.1443132344089799
0.1,10.0,24,72,334,-0.03622991793897147,-0.07537110433688571,0.3083832335329341,0.24008213153301086
0.1,10.0,24,168,332,-0.06279917525417175,-0.09400845360373183,0.2740963855421687,0.23379612341772452
0.1,10.0,24,336,316,-0.07178131730738016,-0.1238206859448085,0.27531645569620256,0.3287026468837122
0.1,10.0,24,672,291,-0.09428389599877272,-0.1910569105691058,0.24054982817869416,0.5681913391045116
