symbol,ts_trigger,ts_pullback,ts_entry,hours_to_pullback,body_ret,vol_ratio,trigger_close,pullback_low,pullback_ma_short,entry_price,body_ret_min,vol_ratio_min,pullback_timeout_h,fwd_ret_4h,fwd_ret_12h,fwd_ret_24h,fwd_ret_72h,fwd_ret_168h,fwd_ret_336h,fwd_ret_672h,rank_group
TUTUSDT,1759615200000,1759647600000,1759651200000,9,0.10794382728987623,9.588280857426863,0.10572,0.10174,0.10864499999999999,0.10584,0.05,5.0,24,-0.0394935752078609,0.1363378684807257,-0.18792517006802723,-0.19803476946334098,-0.7498110355253212,-0.7579365079365079,-0.8133975812547241,BOT
BLESSUSDT,1776067200000,1776128400000,1776132000000,17,0.2271336638885959,10.718535550451843,0.011632,0.019003,0.020234400000000003,0.020481,0.05,5.0,24,0.24857184707777957,-0.11220155265856147,0.16498217860456044,-0.46350275865436263,-0.7029441921781163,-0.7044577901469655,-0.6666666666666667,BOT
SOONUSDT,1763146800000,1763150400000,1763154000000,1,0.8189892051030424,31.34241190952252,3.7071,2.1897,2.19199,2.5693,0.05,5.0,24,0.02852917136963362,0.03506791733156889,-0.019343790137391514,-0.46125403806484255,-0.7025649009457829,-0.7898260226520842,-0.8402288561086677,BOT
BANUSDT,1773756000000,1773784800000,1773788400000,8,0.052867044738500193,5.417434132187763,0.16709,0.16701,0.167161,0.16898,0.05,5.0,24,-0.4102852408569061,-0.49976328559592853,-0.6384779263818203,-0.6842821635696532,-0.6612025091726832,-0.6407858918215174,-0.5137294354361462,BOT
PIPPINUSDT,1769529600000,1769580000000,1769583600000,14,0.08597409754753377,6.832417125679404,0.3941,0.4814,0.48190799999999995,0.49665,0.05,5.0,24,-0.0036444175979059024,-0.13021242323567905,-0.20507399577167018,-0.5133595087083459,-0.6362226920366455,-0.15282392026578062,0.5866304238397262,BOT
BANUSDT,1773565200000,1773604800000,1773608400000,11,0.06874950440091993,15.493070670891308,0.13478,0.13304,0.13356700000000002,0.13475,0.05,5.0,24,-0.008979591836734802,0.013729128014842162,0.0322820037105751,-0.5272727272727272,-0.6169944341372913,-0.5712801484230056,-0.4180333951762524,BOT
SIRENUSDT,1776351600000,1776387600000,1776391200000,10,0.4008822303524289,11.754890259769152,1.20997,1.42532,1.629064,1.66352,0.05,5.0,24,0.24499254592670971,-0.6016699528710205,-0.5550399153602001,-0.5802094354140618,-0.6119193036452824,-0.5947088102337212,-0.674467394440704,BOT
AIOUSDT,1769893200000,1769918400000,1769922000000,7,0.08436603381966912,10.221495337599604,0.17763,0.16852,0.169202,0.1703,0.05,5.0,24,-0.0522607163828539,-0.04268937169700526,-0.035701702877275365,-0.10275983558426316,-0.5956547269524368,-0.5154433352906636,-0.5840869054609512,BOT
IPUSDT,1759507200000,1759539600000,1759543200000,9,0.061384144294448446,5.05824592813553,10.4333,10.024,10.104780000000002,10.0473,0.05,5.0,24,0.0002488230668935554,-0.023021110148995216,-0.03827894061091042,0.0005772695151931018,-0.5898400565326007,-0.44988205786629243,-0.5667592288475511,BOT
ARCUSDT,1771761600000,1771776000000,1771779600000,4,0.08016877637130818,9.503040485726702,0.09216,0.08517,0.08724599999999999,0.08771,0.05,5.0,24,0.046174894538821176,0.03203739596397237,0.039676205677801724,0.23258465397332118,-0.5770151636073424,-0.601755786113328,-0.4343860449207616,BOT
BANUSDT,1773324000000,1773331200000,1773334800000,2,0.06923413566739606,10.036610397933082,0.12216,0.11545,0.117546,0.1159,0.05,5.0,24,-0.005780845556514258,0.0051768766177739955,-0.0009490940465919362,0.16686798964624683,-0.5591889559965487,-0.507679033649698,-0.523986194995686,BOT
MYXUSDT,1770336000000,1770368400000,1770372000000,9,0.0723591219495581,11.234529549182364,6.297,6.2994,6.349829999999999,6.4321,0.05,5.0,24,-0.003124951415556354,0.0009328213180765932,0.02280748122697096,-0.03650440758072793,-0.5373206262340449,-0.7878764322693987,-0.9529702585469754,BOT
BELUSDT,1712430000000,1712473200000,1712476800000,12,0.08455583825041947,6.366689587126224,2.0035,1.9635,2.00278,2.0129,0.05,5.0,24,0.0020368622385611435,0.0024839783397088144,0.03686223856127957,0.19260768046102617,-0.5247155844801034,-0.504446321228079,-0.6063391127229372,BOT
B2USDT,1761465600000,1761505200000,1761508800000,11,0.1231093135353759,9.084827681971102,2.0271,2.0295,2.05635,2.0659,0.05,5.0,24,-0.014908756474176,-0.36110169901737743,-0.5050583280894525,-0.45752456556464494,-0.5091727576358972,-0.5072849605498815,-0.7778692095454766,BOT
AWEUSDT,1771383600000,1771423200000,1771426800000,11,0.07883938355365934,10.219907551725123,0.092545,0.099779,0.10105439999999999,0.105487,0.05,5.0,24,-0.026970147980319825,-0.01724383099339255,-0.33708419046896765,-0.4549470550873568,-0.500137457696209,-0.5159308729985685,-0.48830661598111613,BOT
LYNUSDT,1772863200000,1772888400000,1772892000000,7,0.11514257620452309,7.342215485988688,0.34023,0.32925,0.33027100000000004,0.33043,0.05,5.0,24,0.0007868534939321492,-0.003934267469660857,-0.0002723723632841457,0.0035408407226946714,-0.4799806312986109,-0.8110946342644433,-0.8509517900916987,BOT
FORMUSDT,1757322000000,1757340000000,1757343600000,5,0.05525846702317307,11.552571288349178,4.0848,3.9638,3.9835899999999995,4.0341,0.05,5.0,24,-0.05455987704816434,-0.08978458640093201,-0.2187848590763738,-0.3952306586351354,-0.4714558389727571,-0.6938102674698197,-0.708609107359758,BOT
BANKUSDT,1763028000000,1763038800000,1763042400000,3,0.1510736196319018,146.37526241687354,0.09006,0.07702,0.08130899999999999,0.08261,0.05,5.0,24,-0.3094056409635638,-0.36351531291611183,-0.3762256385425493,-0.35165234233143683,-0.4557559617479724,-0.4233143687204939,-0.5023604890449098,BOT
SYNUSDT,1770184800000,1770202800000,1770206400000,5,0.17490156230153697,5.053911155870754,0.0925,0.08194,0.08229,0.08692,0.05,5.0,24,0.020823745973308938,-0.05027611596870685,-0.10803037275655769,-0.3137367694431661,-0.444201564657156,-0.420041417395306,-0.4252185918085596,BOT
NILUSDT,1761670800000,1761681600000,1761685200000,3,0.0711170748071117,7.605565534619741,0.3193,0.2983,0.30062,0.3019,0.05,5.0,24,0.0009937065253395883,-0.027823782709506473,-0.031467373302418,-0.23882080158993046,-0.4431931103014243,-0.41901291818482944,-0.6783703212984431,BOT
