직전_저점_MA20w_이하_pct,반등기간_일,숏보유_일,표본수,윈율,평균_숏수익,중위_숏수익,p10_숏수익,p25_숏수익,p75_숏수익,p90_숏수익,표준편차,최대손실,Sharpe_like
30,10,7,224,0.7410714285714286,0.07351115117585638,0.10904609648322833,-0.20945188849507226,-0.004888047705151499,0.19623805626166146,0.2736835285364225,0.2139829139411427,-1.0,0.3435374807358501
30,20,1,369,0.6666666666666666,0.021991406290273168,0.03298949717873567,-0.1168313392086878,-0.023495573568413697,0.08286833669713878,0.18325004730731023,0.1470125512023881,-1.0,0.14958863110945003
30,20,2,369,0.6991869918699187,0.03598452915863437,0.03858512634636624,-0.09329212980314813,-0.015289780624886617,0.11393489434608806,0.19671100298402536,0.15664517883955248,-1.0,0.22971999154530234
30,20,3,369,0.6829268292682927,0.04446212754805914,0.049475707521370094,-0.11636338075486731,-0.020215633423180668,0.14430166420897406,0.19967809228108588,0.1570302576391492,-1.0,0.2831436961036628
30,20,4,368,0.6711956521739131,0.039783671288648265,0.06501726756040316,-0.16173734532211473,-0.03173919580782236,0.1530023272430792,0.21693256735803837,0.17930142197873983,-1.0,0.22188151577161225
30,20,5,368,0.6820652173913043,0.0471199894374917,0.0779452881084412,-0.14809170323116846,-0.03246817434801941,0.1646868226381765,0.21309701896272223,0.18033724630564563,-0.8626347995499821,0.26128817203757293
30,20,6,368,0.6684782608695652,0.04756984963349028,0.07368529537150492,-0.14849454531828266,-0.04721514596982601,0.17311262957185716,0.23633427042072858,0.1953611996454139,-1.0,0.24349691607049354
30,20,7,367,0.6839237057220708,0.05198689115033345,0.08341416100872956,-0.17741566785216026,-0.03505498744003577,0.1698491392052398,0.25444079672273434,0.19500013279526396,-1.0,0.26659926024212466
30,40,1,647,0.5672333848531684,-0.01875837348233209,0.013023832727917073,-0.1984020934229539,-0.06118044714686921,0.062477095247367054,0.13373631881582443,0.16825012729496497,-1.0,-0.11149099132297328
30,40,2,646,0.6037151702786377,-0.004904419848874885,0.02271275929237615,-0.22472890938308088,-0.05370587657795661,0.0897189356278269,0.1633054842866396,0.17543710534174578,-1.0,-0.02795543074722553
