lookback_N,threshold_X,hold_H,count,win_rate,mean_short,mean_capped,median_short,p25,p75,std,sharpe_like
20,2.0,60,535,0.6878504672897197,0.0776971257809242,0.13177978187708778,0.2199135980250977,-0.11972645341051968,0.4579968349303457,0.6564208244158183,0.11836480941943114
40,0.2,5,53118,0.5619375729507888,-0.0008191366466672989,0.001439856024886379,0.0199421450105286,-0.07176332427319515,0.1052118241566404,0.20455412220719646,-0.004004498358813718
40,0.2,10,52558,0.5985577837817269,-0.0007880088614348921,0.004676106414984314,0.04217612128170878,-0.08195404909208553,0.14172135148939985,0.2698611639706644,-0.0029200528517714154
40,0.2,20,50192,0.6202183614918713,-0.003162915528277266,0.012613620008925621,0.06824395132688688,-0.09720464020908592,0.19510933891834623,0.4017733309564423,-0.007872387947571785
40,0.2,40,48268,0.6550095301234773,0.009202104906205124,0.04754126671172702,0.1254253745573518,-0.10636389685813896,0.28673717453528547,0.7023639163376263,0.013101619676289965
40,0.2,60,47189,0.6432855114539405,-0.004882164043877967,0.051023943210499134,0.1246826937434673,-0.13420985230086213,0.3271533410583237,0.8080855163223993,-0.006041642802975503
40,0.3,5,38225,0.5671157619359058,-0.0005484895238847012,0.0022532970125154943,0.022863568215892083,-0.07521883956929276,0.11381074168797944,0.2204093445158693,-0.002488503947459498
40,0.3,10,37845,0.6023516977143613,-0.0003640811037663742,0.006337357144040598,0.04568047337278103,-0.08541942312781159,0.15156130997715145,0.2891650997537541,-0.0012590769220643043
40,0.3,20,36280,0.6304024255788313,0.0018098462838015983,0.02023682236068296,0.07862151104136311,-0.09567731488090392,0.20997508366323375,0.4276030645902772,0.004232538149687411
40,0.3,40,34995,0.6693813401914559,0.012871936168642004,0.059249880052524025,0.14135948596550563,-0.09338202355248593,0.3027890167633335,0.7763062527932043,0.016581002822440082
40,0.3,60,34146,0.6594037368945118,0.007319585793290843,0.06763896900540864,0.14193287652725378,-0.11389812909069591,0.3468343622713751,0.8328899544267071,0.008788178743648125
40,0.5,5,21287,0.5849579555597313,0.0032617859428500993,0.0075929182849860544,0.032222324808420355,-0.07538724284021492,0.13028136683512737,0.2530824832876312,0.012888232723491341
