665 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 318/665] KATUSDT              rows=  2371  ( 0.1s)
[ 319/665] KAVAUSDT             rows= 36166  ( 0.1s)
[ 320/665] KERNELUSDT           rows= 10485  ( 0.1s)
[ 321/665] KGENUSDT             rows=  6242  ( 0.1s)
[ 322/665] KIOXIAUSDT           rows=   484  ( 0.1s)
[ 323/665] KITEUSDT             rows=  5729  ( 0.1s)
[ 324/665] KLACUSDT             rows=    67  ( 0.1s)
[ 325/665] KMNOUSDT             rows= 14948  ( 0.1s)
[ 326/665] KNCUSDT              rows= 36768  ( 0.1s)
[ 327/665] KOPNUSDT             rows=  1081  ( 0.1s)
[ 330/665] KSMUSDT              rows= 39335  ( 0.1s)
[ 328/665] KORUUSDT             rows=    67  ( 1.2s)
[ 329/665] KOUSDT               rows=   234  ( 1.2s)
[ 331/665] KTOSUSDT             rows=   572  ( 0.1s)
[ 332/665] KWEBUSDT             rows=  2209  ( 0.1s)
[ 333/665] LABUSDT              rows=  6017  ( 0.1s)
[ 334/665] LASERTECUSDT         rows=   484  ( 0.1s)
[ 335/665] LAUSDT               rows=  9263  ( 0.1s)
[ 336/665] LAYERUSDT            rows= 11970  ( 0.1s)
[ 337/665] LDOUSDT              rows= 29395  ( 0.1s)
[ 338/665] LINEAUSDT            rows=  7126  ( 0.1s)
[ 339/665] LINKUSDT             rows= 51602  ( 0.1s)
[ 340/665] LINUSDT              rows=    67  ( 1.2s)
[ 343/665] LITUSDT              rows=  4391  ( 0.1s)
[ 341/665] LISTAUSDT            rows= 17636  ( 0.1s)
[ 342/665] LITEUSDT             rows=  1705  ( 0.1s)
[ 344/665] LLYUSDT              rows=  5422  ( 0.1s)
[ 345/665] LMTUSDT              rows=   572  ( 0.1s)
[ 346/665] LPTUSDT              rows= 25201  ( 0.1s)
[ 347/665] LQTYUSDT             rows= 28758  ( 0.1s)
[ 348/665] LRCXUSDT             rows=   163  ( 0.1s)
[ 349/665] LSKUSDT              rows= 19028  ( 0.1s)
[ 350/665] LTCUSDT              rows= 56816  ( 0.1s)
