664 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 282/664] ICNTUSDT             rows=  8593  ( 0.1s)
[ 283/664] ICPUSDT              rows= 44569  ( 0.1s)
[ 284/664] ICXUSDT              rows= 28223  ( 0.2s)
[ 285/664] IDOLUSDT             rows=  9120  ( 0.2s)
[ 281/664] IBMUSDT              rows=   596  ( 1.2s)
[ 286/664] IDUSDT               rows= 28534  ( 0.1s)
[ 287/664] ILVUSDT              rows=  7775  ( 0.1s)
[ 288/664] IMXUSDT              rows= 34774  ( 0.2s)
[ 289/664] INDAUSDT             rows=  1872  ( 0.2s)
[ 290/664] INFQUSDT             rows=  1057  ( 0.2s)
[ 291/664] INITUSDT             rows= 10270  ( 0.1s)
[ 292/664] INJUSDT              rows= 28721  ( 0.1s)
[ 293/664] INTCUSDT             rows=  6983  ( 0.1s)
[ 295/664] INXUSDT              rows=  3505  ( 0.1s)
[ 294/664] INUSDT               rows=  7750  ( 0.2s)
[ 296/664] IONQUSDT             rows=  1563  ( 0.1s)
[ 297/664] IOSTUSDT             rows= 36957  ( 0.1s)
[ 298/664] IOTAUSDT             rows= 37464  ( 0.2s)
[ 299/664] IOTXUSDT             rows= 27453  ( 0.2s)
[ 300/664] IOUSDT               rows= 17874  ( 0.2s)
[ 301/664] IPUSDT               rows= 11951  ( 0.1s)
[ 302/664] IRENUSDT             rows=   429  ( 0.1s)
[ 303/664] IRYSUSDT             rows=  5070  ( 0.1s)
[ 304/664] ISRGUSDT             rows=   235  ( 0.1s)
[ 305/664] IWMUSDT              rows=   429  ( 0.1s)
[ 306/664] JASMYUSDT            rows= 32951  ( 0.1s)
[ 310/664] JOEUSDT              rows= 28417  ( 0.1s)
[ 309/664] JOBYUSDT             rows=   742  ( 0.2s)
[ 308/664] JDUSDT               rows=  5781  ( 0.2s)
[ 307/664] JCTUSDT              rows=  5447  ( 0.2s)
[ 311/664] JPMUSDT              rows=    91  ( 0.1s)
[ 312/664] JSTUSDT              rows= 10181  ( 0.1s)
[ 314/664] JUPUSDT              rows= 21020  ( 0.1s)
[ 313/664] JTOUSDT              rows= 22242  ( 0.2s)
[ 315/664] KAIAUSDT             rows= 28560  ( 0.2s)
[ 316/664] KAITOUSDT            rows= 11779  ( 0.1s)
[ 317/664] KASUSDT              rows= 19653  ( 0.1s)
[ 318/664] KATUSDT              rows=  2395  ( 0.1s)
[ 319/664] KAVAUSDT             rows= 36190  ( 0.2s)
[ 320/664] KERNELUSDT           rows= 10509  ( 0.2s)
[ 321/664] KGENUSDT             rows=  6266  ( 0.1s)
[ 322/664] KIOXIAUSDT           rows=   508  ( 0.1s)
[ 323/664] KITEUSDT             rows=  5753  ( 0.1s)
[ 324/664] KLACUSDT             rows=    91  ( 0.1s)
[ 325/664] KMNOUSDT             rows= 14972  ( 0.1s)
[ 326/664] KNCUSDT              rows= 36792  ( 0.1s)
[ 327/664] KOPNUSDT             rows=  1105  ( 0.1s)
[ 328/664] KORUUSDT             rows=    91  ( 0.1s)
[ 329/664] KOUSDT               rows=   258  ( 0.1s)
[ 330/664] KSMUSDT              rows= 39359  ( 0.1s)
[ 331/664] KTOSUSDT             rows=   596  ( 0.1s)
[ 332/664] KWEBUSDT             rows=  2233  ( 0.1s)
[ 333/664] LABUSDT              rows=  6041  ( 0.1s)
[ 334/664] LASERTECUSDT         rows=   508  ( 0.1s)
[ 335/664] LAUSDT               rows=  9287  ( 0.1s)
[ 336/664] LAYERUSDT            rows= 11994  ( 0.1s)
[ 337/664] LDOUSDT              rows= 29419  ( 0.1s)
[ 338/664] LINEAUSDT            rows=  7150  ( 0.1s)
[ 339/664] LINKUSDT             rows= 51626  ( 0.2s)
[ 340/664] LINUSDT              rows=    91  ( 0.2s)
[ 341/664] LISTAUSDT            rows= 17660  ( 0.1s)
[ 342/664] LITEUSDT             rows=  1729  ( 0.1s)
[ 343/664] LITUSDT              rows=  4415  ( 0.1s)
[ 344/664] LLYUSDT              rows=  5446  ( 0.1s)
[ 345/664] LMTUSDT              rows=   596  ( 0.1s)
[ 346/664] LPTUSDT              rows= 25225  ( 0.2s)
[ 347/664] LQTYUSDT             rows= 28782  ( 0.2s)
[ 348/664] LRCXUSDT             rows=   187  ( 0.1s)
[ 349/664] LSKUSDT              rows= 19052  ( 0.2s)
[ 350/664] LTCUSDT              rows= 56840  ( 0.2s)
[ 351/664] LUMIAUSDT            rows= 14711  ( 0.1s)
[ 352/664] LUNAUSDT             rows= 34631  ( 0.1s)
[ 353/664] LUNCUSDT             rows= 33094  ( 0.2s)
[ 354/664] LWLGUSDT             rows=  1105  ( 0.2s)
[ 355/664] LYNUSDT              rows=  6245  ( 0.2s)
[ 356/664] MAGICUSDT            rows= 29666  ( 0.1s)
[ 357/664] MAGMAUSDT            rows=  4294  ( 0.1s)
[ 358/664] MANAUSDT             rows= 40009  ( 0.1s)
[ 359/664] MANTAUSDT            rows= 21213  ( 0.2s)
[ 360/664] MANTRAUSDT           rows=  2735  ( 0.2s)
[ 361/664] MARUSDT              rows=   258  ( 0.1s)
[ 362/664] MASKUSDT             rows= 33865  ( 0.1s)
[ 363/664] MAVUSDT              rows= 26228  ( 0.2s)
[ 364/664] MCDUSDT              rows=  7294  ( 0.2s)
[ 365/664] MDBUSDT              rows=   429  ( 0.1s)
[ 366/664] MEGAUSDT             rows=  3524  ( 0.1s)
[ 367/664] MELANIAUSDT          rows= 12533  ( 0.1s)
[ 368/664] MEMEUSDT             rows= 23179  ( 0.1s)
[ 369/664] MERLUSDT             rows= 14136  ( 0.1s)
[ 370/664] METAUSDT             rows=  7294  ( 0.2s)
[ 371/664] METISUSDT            rows= 19892  ( 0.1s)
[ 372/664] METUSDT              rows=  6146  ( 0.1s)
[ 373/664] MEUSDT               rows= 13506  ( 0.1s)
[ 375/664] MINAUSDT             rows= 29283  ( 0.1s)
[ 374/664] MEWUSDT              rows= 17731  ( 0.2s)
[ 376/664] MINIMAXUSDT          rows=    48  ( 0.1s)
[ 377/664] MIRAUSDT             rows=  6549  ( 0.1s)
[ 378/664] MMTUSDT              rows=  5612  ( 0.1s)
[ 379/664] MOCAUSDT             rows= 17118  ( 0.1s)
[ 380/664] MONUSDT              rows=  6215  ( 0.1s)
[ 381/664] MOODENGUSDT          rows= 15190  ( 0.1s)
[ 382/664] MORPHOUSDT           rows= 13966  ( 0.1s)
[ 383/664] MOVEUSDT             rows= 13532  ( 0.1s)
[ 384/664] MOVRUSDT             rows= 18701  ( 0.2s)
[ 385/664] MPUSDT               rows=  1417  ( 0.2s)
[ 386/664] MRVLUSDT             rows=  6936  ( 0.1s)
[ 387/664] MSFTUSDT             rows=  6646  ( 0.1s)
[ 388/664] MSTRUSDT             rows=  7272  ( 0.1s)
[ 389/664] MTLUSDT              rows= 14639  ( 0.2s)
[ 390/664] MUBARAKUSDT          rows= 11185  ( 0.2s)
[ 391/664] MUSDT                rows=  8593  ( 0.2s)
[ 392/664] MUUSDT               rows=  3235  ( 0.1s)
[ 393/664] MUUUSDT              rows=   187  ( 0.1s)
[ 394/664] MYXUSDT              rows=  6938  ( 0.1s)
[ 395/664] NAORISUSDT           rows=  7920  ( 0.2s)
[ 396/664] NATGASUSDT           rows=  2062  ( 0.1s)
[ 397/664] NBISUSDT             rows=  1563  ( 0.1s)
[ 398/664] NDX100USDT           rows=   842  ( 0.1s)
[ 399/664] NEARUSDT             rows= 39504  ( 0.2s)
[ 400/664] NEIROCTOUSDT         rows= 15001  ( 0.2s)
[ 401/664] NEOUSDT              rows= 37990  ( 0.2s)
[ 403/664] NFLXUSDT             rows=  1894  ( 0.1s)
[ 404/664] NIGHTUSDT            rows=  4749  ( 0.1s)
[ 405/664] NILUSDT              rows= 11011  ( 0.1s)
[ 402/664] NEWTUSDT             rows=  8809  ( 0.2s)
[ 406/664] NIOUSDT              rows=  1105  ( 0.1s)
[ 407/664] NKEUSDT              rows=   258  ( 0.1s)
[ 408/664] NMRUSDT              rows= 11142  ( 0.1s)
[ 409/664] NOCUSDT              rows=   596  ( 0.1s)
[ 410/664] NOKSTOCKUSDT         rows=   912  ( 0.1s)
[ 411/664] NOTUSDT              rows= 18497  ( 0.1s)
[ 412/664] NOWUSDT              rows=   596  ( 0.1s)
[ 413/664] NTAPUSDT             rows=   596  ( 0.1s)
[ 414/664] NVDAUSDT             rows=  7468  ( 0.1s)
[ 415/664] NXPCUSDT             rows=  9771  ( 0.1s)
[ 416/664] OGNUSDT              rows= 25225  ( 0.1s)
[ 417/664] OGUSDT               rows= 15001  ( 0.1s)
[ 418/664] OKLOUSDT             rows=  1417  ( 0.1s)
[ 419/664] ONDOUSDT             rows= 19701  ( 0.1s)
[ 420/664] ONDSUSDT             rows=   912  ( 0.1s)
[ 421/664] ONEUSDT              rows= 32951  ( 0.2s)
[ 422/664] ONGUSDT              rows= 19222  ( 0.1s)
[ 423/664] ONTUSDT              rows= 28150  ( 0.2s)
[ 424/664] OPENAIUSDT           rows=   742  ( 0.2s)
[ 425/664] OPENUSDT             rows=  6981  ( 0.2s)
[ 426/664] OPGUSDT              rows=  1541  ( 0.1s)
[ 427/664] OPNUSDT              rows=  2976  ( 0.1s)
[ 428/664] OPUSDT               rows= 35381  ( 0.1s)
[ 429/664] ORCAUSDT             rows= 13605  ( 0.1s)
[ 430/664] ORCLUSDT             rows=  6959  ( 0.1s)
[ 431/664] ORDERUSDT            rows= 16008  ( 0.1s)
[ 433/664] OSSUSDT              rows=   381  ( 0.1s)
[ 432/664] ORDIUSDT             rows= 27161  ( 0.1s)
[ 434/664] OUSDT                rows=    72  ( 0.1s)
[ 435/664] OUSTUSDT             rows=   912  ( 0.1s)
[ 436/664] OXYUSDT              rows=  2546  ( 0.1s)
[ 437/664] PANWUSDT             rows=   742  ( 0.1s)
[ 438/664] PARTIUSDT            rows= 10989  ( 0.1s)
[ 439/664] PAXGUSDT             rows= 17448  ( 0.1s)
[ 440/664] PENDLEUSDT           rows= 25515  ( 0.1s)
[ 441/664] PENGUUSDT            rows= 13322  ( 0.1s)
[ 442/664] PEOPLEUSDT           rows= 38160  ( 0.1s)
[ 443/664] PEPEUSDT             rows= 27545  ( 0.2s)
[ 444/664] PHAUSDT              rows= 13029  ( 0.2s)
[ 445/664] PIEVERSEUSDT         rows=  5305  ( 0.2s)
[ 446/664] PIPPINUSDT           rows= 12580  ( 0.1s)
