Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,Name,entry_month
084870,2026-03-25,2150,2026-03-26,2330,1,8.372093023255811,T_star,TBH글로벌,2026-03
084870,2026-04-09,2115,2026-04-10,2070,1,-2.127659574468088,STOP,TBH글로벌,2026-04
084870,2026-04-30,2185,2026-05-06,2040,2,-6.636155606407323,STOP,TBH글로벌,2026-04
085310,2025-10-24,14450,2025-11-05,13640,8,-5.605536332179928,STOP,엔케이,2025-10
085310,2026-05-19,11690,2026-05-27,11690,5,0.0,STOP,엔케이,2026-05
085620,2025-09-03,7460,2025-09-17,7890,10,5.764075067024121,TIMEOUT,미래에셋생명,2025-09
085620,2025-09-25,7890,2025-09-26,7750,1,-1.7743979721166037,STOP,미래에셋생명,2025-09
085620,2025-09-29,7810,2025-09-30,7780,1,-0.3841229193341844,STOP,미래에셋생명,2025-09
085620,2025-10-01,7900,2025-10-22,8310,10,5.189873417721524,TIMEOUT,미래에셋생명,2025-10
085620,2025-11-27,9270,2025-11-28,9310,1,0.4314994606256839,STOP,미래에셋생명,2025-11
085620,2025-12-30,9380,2026-01-09,9160,6,-2.3454157782516027,STOP,미래에셋생명,2025-12
085620,2026-01-30,9420,2026-02-04,10000,3,6.157112526539277,T_star,미래에셋생명,2026-01
085620,2026-02-20,12400,2026-03-04,10440,7,-15.806451612903228,STOP,미래에셋생명,2026-02
085620,2026-04-01,16630,2026-04-07,16190,4,-2.645820805772703,STOP,미래에셋생명,2026-04
085620,2026-04-17,17450,2026-04-28,16770,7,-3.8968481375358133,STOP,미래에셋생명,2026-04
086280,2025-10-28,169300,2025-11-04,166600,5,-1.594802126402839,STOP,현대글로비스,2025-10
086280,2025-11-12,169500,2025-11-13,168200,1,-0.7669616519174083,STOP,현대글로비스,2025-11
086280,2026-01-07,218500,2026-01-21,262000,10,19.90846681922196,TIMEOUT,현대글로비스,2026-01
086280,2026-02-02,246000,2026-02-04,251000,2,2.0325203252032464,STOP,현대글로비스,2026-02
086280,2026-02-20,270000,2026-03-04,232000,7,-14.074074074074073,STOP,현대글로비스,2026-02
086280,2026-04-20,226000,2026-05-06,220000,10,-2.6548672566371723,STOP,현대글로비스,2026-04
086280,2026-05-07,230500,2026-05-08,251000,1,8.893709327548805,T_star,현대글로비스,2026-05
086790,2025-09-11,87700,2025-09-25,88900,10,1.36830102622576,TIMEOUT,하나금융지주,2025-09
086790,2025-10-02,88400,2025-10-10,86000,1,-2.714932126696834,STOP,하나금융지주,2025-10
086790,2025-10-28,87900,2025-10-29,85800,1,-2.3890784982935176,STOP,하나금융지주,2025-10
086790,2025-11-04,87900,2025-11-05,86900,1,-1.1376564277588153,STOP,하나금융지주,2025-11
086790,2025-11-06,93000,2025-11-20,91900,10,-1.1827956989247324,TIMEOUT,하나금융지주,2025-11
086790,2025-11-26,92900,2025-11-28,93300,2,0.43057050592034685,STOP,하나금융지주,2025-11
086790,2025-12-05,95200,2025-12-09,93000,2,-2.310924369747902,STOP,하나금융지주,2025-12
086790,2026-01-02,93400,2026-01-08,91900,4,-1.6059957173447548,STOP,하나금융지주,2026-01
086790,2026-01-12,94000,2026-01-26,101200,10,7.659574468085117,TIMEOUT,하나금융지주,2026-01
086790,2026-04-08,117100,2026-04-22,119500,10,2.0495303159692613,TIMEOUT,하나금융지주,2026-04
086790,2026-05-14,126500,2026-05-15,119000,1,-5.928853754940711,STOP,하나금융지주,2026-05
088260,2025-10-21,4730,2025-10-30,4715,7,-0.3171247357293905,STOP,이리츠코크렙,2025-10
088260,2025-10-31,4725,2025-11-03,4700,1,-0.5291005291005346,STOP,이리츠코크렙,2025-10
088260,2025-11-19,4740,2025-12-03,4840,10,2.1097046413502074,TIMEOUT,이리츠코크렙,2025-11
088260,2026-01-21,4750,2026-02-02,4695,8,-1.1578947368421022,STOP,이리츠코크렙,2026-01
088260,2026-03-25,4805,2026-03-30,4775,3,-0.624349635796051,STOP,이리츠코크렙,2026-03
