symbol,last_date,close,ma20,px_vs_ma20_pct,category,a_pct,b_pct,vertex_x,vertex_pos,r2,y_mean
HBARUSDT,2026-06-15,0.0825,0.08473,-2.6318895314528468,case2_downtrend,0.0007287115141393944,-0.545295254008113,374.1502936536584,26.725020975261316,0.9977763916270547,0.08779143333333335
STOUSDT,2026-06-15,0.05128,0.05630099999999999,-8.918136445178583,case2_downtrend,0.00048742141733256345,-1.3520825296817842,1386.974886209473,99.06963472924807,0.9977640180347569,0.06191639999999999
MANAUSDT,2026-06-15,0.0689,0.07346,-6.207459842090923,case2_downtrend,0.00040553184734824684,-1.2999688746945912,1602.7950495072394,114.48536067908853,0.9988728315742662,0.08049633333333332
ZILUSDT,2026-06-15,0.003279,0.0033721000000000003,-2.760890839536212,case2_downtrend,0.00040496609907453014,-1.118963614148955,1381.5522048711298,98.68230034793784,0.9978192375825558,0.0036423600000000003
COPUSDT,2026-06-15,112.64,116.50050000000002,-3.3137196836065197,case2_downtrend,0.0003532413573833936,-0.20625748830621857,291.9498014531112,20.8535572466508,0.9761026445429779,118.08866666666668
SNXUSDT,2026-06-15,0.2539,0.26295999999999997,-3.4453909339823396,case2_downtrend,0.0003436881757827727,-1.1737086193082187,1707.5196384557298,121.96568846112356,0.9996152163178132,0.28611833333333325
IOTAUSDT,2026-06-15,0.04957,0.05104499999999999,-2.8896072093250846,case2_downtrend,0.0003091097357150289,-0.9685455262414692,1566.6693965511006,111.90495689650719,0.9989338850830911,0.054580500000000004
SUPERUSDT,2026-06-15,0.0981,0.10103999999999999,-2.9097387173396494,case2_downtrend,0.0003036840827133968,-0.9945147568700259,1637.4166666624467,116.9583333330319,0.9989983273895164,0.10855700000000001
SXTUSDT,2026-06-15,0.00823,0.009674,-14.9266074012818,case2_downtrend,0.00016725713738797337,-1.5795634709436588,4721.961333344085,337.28295238172035,0.9997553330381588,0.010869700000000001
JUPUSDT,2026-06-15,0.1914,0.175295,9.18736986223223,case2_downtrend,-7.279483719584873e-05,-1.0770444131381038,-7397.807692325771,-528.4148351661265,0.9882102357508933,0.18758833333333333
