symbol,score,verdict,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,last_close,dist_ma10,dist_ma20,risk_flags,cut,Name,Marcap
005070,23.0,watch,B3,B3,B3,pullback_ma50,riding,normal,0.0,0.0,0.013,0.3,54600.0,0.023,-0.056,drawdown_deep,False,코스모신소재,1899873461200
058850,23.0,watch,B3,B3,B3,riding,pullback_ma10,dry,0.0,0.0,0.0,-0.024,2615.0,0.003,-0.01,drawdown_deep,False,KTcs,107444547750
004700,22.8,watch,A2,A3,B2,pullback_ma10,riding,normal,0.0,0.6,-0.057,-0.042,63400.0,0.02,-0.029,"drawdown_deep,zombie",False,조광피혁,428204487200
071055,22.4,watch,A2,A3,B2,pullback_ma20,breaking,normal,0.0,0.3,0.02,0.339,171500.0,-0.001,-0.024,,False,한국금융지주우,1018164023800
006280,22.4,watch,B3,B3,B2,riding,breaking,normal,0.0,0.3,-0.025,-0.122,139000.0,0.023,0.011,,False,녹십자,1674680895400
011200,22.4,watch,B3,B3,B3,pullback_ma10,pullback_ma10,normal,0.0,0.3,-0.007,0.027,20500.0,0.027,0.006,,False,HMM,19100568892500
001440,22.0,watch,A2,A2,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.745,1.112,54800.0,-0.09,-0.046,"parabolic,drawdown_deep",False,대한전선,10485603886000
001080,22.0,watch,A2,A2,A4,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.034,0.23,5180.0,-0.013,-0.007,drawdown_deep,False,만호제강,215385000000
001040,22.0,skip,A2,A5,B2,breaking,breaking,normal,0.0,0.0,-0.106,0.003,174900.0,-0.089,-0.152,,False,CJ,5117645449200
015860,22.0,watch,A2,A2,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.467,0.57,10720.0,-0.139,-0.098,"parabolic,drawdown_deep",False,일진홀딩스,503344326600
460860,22.0,watch,A1,A2,A4,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.234,0.587,12330.0,-0.03,-0.083,"drawdown_deep,low_history",False,동국제강,600753085870
005440,22.0,watch,A2,A2,A4,pullback_ma10,breaking,normal,0.0,0.0,0.074,0.821,14400.0,-0.0,-0.017,drawdown_deep,False,현대지에프홀딩스,2202927773130
003530,22.0,watch,A2,A2,A4,pullback_ma50,breaking,normal,0.0,0.0,-0.04,0.469,6910.0,-0.024,-0.092,drawdown_deep,False,한화투자증권,1452488436750
003540,22.0,skip,A3,A5,B2,pullback_ma50,breaking,normal,0.0,0.0,-0.118,0.282,33650.0,-0.025,-0.089,drawdown_deep,False,대신증권,1646401072350
139480,22.0,watch,B4,B4,B2,pullback_ma10,riding,normal,0.0,0.0,-0.034,0.121,90500.0,-0.108,-0.131,drawdown_deep,False,이마트,2592627195050
161000,22.0,watch,A1,A2,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.209,0.731,15230.0,0.084,0.016,drawdown_deep,False,애경케미칼,718054944840
052690,22.0,skip,A2,A4,B2,pullback_ma20,riding,normal,0.0,0.0,-0.152,0.517,146500.0,-0.026,-0.133,drawdown_deep,False,한전기술,5599230000000
010060,22.0,watch,A2,A2,A4,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.595,2.089,314500.0,0.008,-0.054,"parabolic,drawdown_deep",False,OCI홀딩스,6609262128000
298020,22.0,watch,A1,A2,A4,pullback_ma20,pullback_ma50,normal,0.0,0.0,0.034,0.901,423000.0,-0.018,-0.105,drawdown_deep,False,효성티앤씨,1767858097000
002810,21.4,pass,A2,A2,A2,riding,pullback_ma10,normal,0.0,0.3,0.137,0.424,21600.0,0.015,0.035,,False,삼영무역,396116034600
002020,21.0,watch,A2,A3,A4,pullback_ma10,pullback_ma50,distribution_suspect,0.0,0.0,0.012,0.528,66300.0,-0.045,-0.041,distribution_suspect,False,코오롱,880303776000
030190,21.0,watch,B4,B2,B4,breaking,bounce_ma10,normal,0.0,0.0,-0.02,-0.075,14920.0,0.042,0.004,drawdown_deep,False,NICE평가정보,854217141500
007340,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.268,0.958,46100.0,-0.019,-0.007,parabolic,False,DN오토모티브,2744159568500
105560,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.026,0.295,160000.0,0.033,0.019,,False,KB금융,59954353164000
015360,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.007,0.267,16490.0,-0.008,0.002,parabolic,False,INVENI,436000000000
023800,21.0,watch,B3,A2,A3,pullback_ma10,pullback_ma50,accumulation_suspect,0.0,0.0,0.057,0.161,7220.0,-0.049,-0.077,drawdown_deep,False,인지컨트롤스,112719574610
028260,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.361,0.554,420500.0,0.013,0.116,,False,삼성물산,68921221925000
039490,21.0,skip,A2,A3,B2,pullback_ma10,riding,normal,0.0,0.0,-0.114,0.328,407000.0,0.002,-0.043,,False,키움증권,10543783032000
395400,21.0,skip,A1,A3,B2,pullback_ma50,riding,normal,0.0,0.0,-0.109,-0.036,5650.0,-0.023,-0.089,,False,SK리츠,1736871667400
000660,21.0,watch,A2,A2,A3,acceleration,pullback_ma10,normal,0.0,0.0,0.879,1.567,1941000.0,0.034,0.186,parabolic,False,SK하이닉스,1481708216835000
013520,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.03,0.445,2905.0,-0.075,-0.08,,False,화승코퍼레이션,140393761860
049800,21.0,watch,B3,B4,B4,pullback_ma20,pullback_ma10,normal,0.0,0.0,-0.117,0.204,2270.0,-0.046,-0.123,drawdown_deep,False,우진플라임,44100000000
