symbol,pass_gate,bar_dt,close,ma20w,slope_4w,n_weeks,reason
JTOUSDT,True,2026-05-18,0.5022,0.33313000000000004,0.0350313029159095,128,pass
JUPUSDT,True,2026-05-18,0.2009,0.17746,0.009212920837124772,121,pass
KAIAUSDT,False,2026-05-18,0.05121,0.052891499999999994,-0.05019169816741964,166,below MA20 + slope<0
KAITOUSDT,False,2026-05-18,0.4926,0.40810499999999994,-0.02360217240471807,66,slope<0
KASUSDT,False,2026-05-18,0.03329,0.034263499999999995,-0.06255813953488387,113,below MA20 + slope<0
KATUSDT,False,,,,,10,insufficient (<24w)
KAVAUSDT,False,2026-05-18,0.05981,0.0611565,-0.062146329494394914,211,below MA20 + slope<0
KERNELUSDT,False,2026-05-18,0.06072,0.071904,-0.021294840645991298,58,below MA20 + slope<0
KGENUSDT,False,2026-05-18,0.18349,0.1970895,-0.005284235867697218,33,below MA20 + slope<0
KITEUSDT,True,2026-05-18,0.20125,0.17468299999999998,0.1225656366376302,30,pass
KLACUSDT,False,,,,,4,insufficient (<24w)
KMNOUSDT,False,2026-05-18,0.01968,0.026644499999999998,-0.2059454626732231,85,below MA20 + slope<0
KNCUSDT,False,2026-05-18,0.1436,0.15408,-0.09786586258379937,215,below MA20 + slope<0
KOPNUSDT,False,,,,,2,insufficient (<24w)
KSMUSDT,False,2026-05-18,4.808,5.03025,-0.08140904484071554,230,below MA20 + slope<0
KWEBUSDT,False,,,,,9,insufficient (<24w)
LABUSDT,True,2026-05-18,4.28689,0.9795285,3.302754429467849,32,pass
LAUSDT,False,2026-05-18,0.1136,0.20120999999999997,-0.1557858521439961,51,below MA20 + slope<0
LAYERUSDT,False,2026-05-18,0.0876,0.09685999999999999,-0.13978685612788644,67,below MA20 + slope<0
LDOUSDT,False,2026-05-18,0.3417,0.37425499999999995,-0.1042030685272507,171,below MA20 + slope<0
LIGHTUSDT,False,2026-05-18,0.1318,0.24287,-0.365327828154807,35,below MA20 + slope<0
LINEAUSDT,False,2026-05-18,0.003074,0.0037718,-0.15355527877829023,38,below MA20 + slope<0
LINKUSDT,False,2026-05-18,9.423,9.6172,-0.062326633484295124,303,below MA20 + slope<0
LISTAUSDT,False,2026-05-18,0.0748,0.096045,-0.14241707219072275,101,below MA20 + slope<0
LITEUSDT,False,,,,,6,insufficient (<24w)
LITUSDT,False,,,,,22,insufficient (<24w)
LPTUSDT,False,2026-05-18,2.178,2.3453500000000003,-0.0765611465469721,146,below MA20 + slope<0
LQTYUSDT,False,2026-05-18,0.2492,0.300485,-0.061746705801536184,167,below MA20 + slope<0
LSKUSDT,False,2026-05-18,0.1186,0.13841,-0.09390854636509438,109,below MA20 + slope<0
LTCUSDT,False,2026-05-18,52.73,57.4525,-0.07538986433204053,355,below MA20 + slope<0
LUMIAUSDT,True,2026-05-18,0.10669,0.0914405,0.022996028416400804,83,pass
LUNAUSDT,False,2026-05-18,0.06096,0.0650645,-0.1359583015172139,202,below MA20 + slope<0
LUNCUSDT,True,2026-05-18,7.998e-05,4.8989e-05,0.21360534106251472,193,pass
LWLGUSDT,False,,,,,2,insufficient (<24w)
LYNUSDT,False,2026-05-18,0.04474,0.11947299999999998,-0.08669910445707485,33,below MA20 + slope<0
MAGICUSDT,False,2026-05-18,0.0602,0.0679415,-0.09244342924314064,172,below MA20 + slope<0
MAGMAUSDT,False,,,,,21,insufficient (<24w)
MANAUSDT,False,2026-05-18,0.0861,0.09999,-0.07698698421489891,234,below MA20 + slope<0
MANTAUSDT,False,2026-05-18,0.07793,0.06952,-0.010391459074733267,122,slope<0
MANTRAUSDT,False,,,,,12,insufficient (<24w)
MASKUSDT,False,2026-05-18,0.4528,0.487625,-0.047216631821645816,197,below MA20 + slope<0
MAVUSDT,False,2026-05-18,0.01353,0.016463,-0.1348013453857474,152,below MA20 + slope<0
MEGAUSDT,False,,,,,17,insufficient (<24w)
MELANIAUSDT,False,2026-05-18,0.0944,0.1176,-0.023863872172649958,70,below MA20 + slope<0
