symbol,ts,i,close,body_pct,wick,p168_cum_ret_pct,breakout_pct,burst_count,fwd_t+24h_pct,fwd_t+72h_pct,fwd_t+168h_pct,close_now,change_now_pct,ts_kst
LITUSDT,2026-05-21 22:00:00+00:00,3565,1.431,5.298013245033117,0.9350649350649364,56.736035049288056,2.5071633237822453,1,-17.81970649895179,-9.573724668064292,-18.448637316561843,1.63,13.906359189378046,2026-05-22 07:00
DEXEUSDT,2026-05-21 16:00:00+00:00,12318,14.543,6.0681204872000505,0.9585253456221182,13.254419437738493,2.5165656280840216,1,-6.93116963487588,5.521556762703712,16.79845974008115,18.011,23.846524100942034,2026-05-22 01:00
NILUSDT,2026-05-20 17:00:00+00:00,10132,0.06148,5.599450360700788,0.9560117302052793,21.358073430714576,5.599450360700788,1,-3.3994795055302562,-8.490566037735853,14.736499674690965,0.05453,-11.304489264801559,2026-05-21 02:00
ARMUSDT,2026-05-20 13:00:00+00:00,6100,250.38,9.589880509476078,0.9555167902311378,19.41053033193437,9.589880509476078,1,12.029714833453154,21.55922997044493,24.61857975876667,391.97,56.55004393322152,2026-05-20 22:00
APRUSDT,2026-05-18 01:00:00+00:00,4958,0.16926,23.945518453427074,0.9703264094955489,15.804597701149412,10.22401667100807,1,-4.05293631100083,1.0929930284769103,-3.8875103391232435,0.2299,35.82653905234551,2026-05-18 10:00
CGPTUSDT,2026-05-15 02:00:00+00:00,12235,0.03946,5.142552624567016,0.9948453608247443,32.0615796519411,5.142552624567016,1,3.902686264571717,-12.468322351748608,-33.73035985808414,0.02249,-43.00557526609225,2026-05-15 11:00
RIVERUSDT,2026-05-14 02:00:00+00:00,5003,7.222,5.785850300278313,0.933806146572105,19.233944196797093,5.785850300278313,1,0.7477153143173549,0.1523123788424153,-13.98504569371366,5.054,-30.019385211852672,2026-05-14 11:00
AINUSDT,2026-05-13 14:00:00+00:00,7370,0.114,8.872123006398631,0.9616977225672882,11.165285226718675,8.872123006398631,1,-14.991228070175444,-29.01754385964912,-21.570175438596493,0.06709,-41.14912280701755,2026-05-13 23:00
INJUSDT,2026-05-13 09:00:00+00:00,27666,5.851,7.180802344751792,0.9584352078239601,49.98718277364779,6.789560138711441,1,-12.97214151427107,-21.722782430353785,-15.5528969406939,6.238,6.614253973679721,2026-05-13 18:00
BANUSDT,2026-05-13 08:00:00+00:00,12981,0.08209,5.541270249421438,0.9369565217391307,9.176752227689837,4.760081674323631,1,-6.699963454744781,-6.565964185649888,-9.111950298452918,0.07311,-10.939213058837865,2026-05-13 17:00
ARPAUSDT,2026-05-12 18:00:00+00:00,26864,0.01216,5.0993949870354385,0.9672131147540997,18.749999999999996,5.0993949870354385,1,-6.990131578947369,2.38486842105262,-1.7269736842105272,0.00916,-24.671052631578956,2026-05-13 03:00
PARTIUSDT,2026-05-11 09:00:00+00:00,9886,0.05923,5.598145837047596,0.9515151515151513,18.721186610543196,4.776225013267293,1,9.066351511058597,4.1195340199223445,-1.6039169339861548,0.05094,-13.996285666047608,2026-05-11 18:00
LDOUSDT,2026-05-11 05:00:00+00:00,28312,0.4338,7.7496274217585706,0.9341317365269467,15.096842663836563,3.1138578559543615,1,-7.284462886122641,-11.387736284001845,-19.133241124942373,0.2795,-35.56938681420009,2026-05-11 14:00
SEIUSDT,2026-05-10 18:00:00+00:00,23938,0.07747,5.430048992923235,0.9388235294117654,32.858857828845814,5.430048992923235,1,-3.162514521750347,-13.656899444946422,-19.452691364399122,0.05597,-27.752678456176582,2026-05-11 03:00
CARVUSDT,2026-05-09 17:00:00+00:00,13784,0.06565,6.522797338958304,0.9548693586698347,12.723214285714285,3.8601487106470462,1,0.060929169840058445,-0.18278750952017533,-14.958111195734961,0.04395,-33.05407463823305,2026-05-10 02:00
INXUSDT,2026-05-09 14:00:00+00:00,2359,0.012733,14.197309417040351,0.945639187574671,26.797450707030464,13.606352605281947,1,20.505772402418916,-2.4660331422288544,-13.398256498861222,0.008815,-30.770439016728186,2026-05-09 23:00
AEVOUSDT,2026-05-09 06:00:00+00:00,18666,0.03236,6.098360655737707,0.9073170731707305,17.93002915451895,5.510270622758397,1,-5.191594561186653,1.514215080346098,-12.948084054388131,0.02206,-31.829419035846723,2026-05-09 15:00
SAFEUSDT,2026-05-09 05:00:00+00:00,13460,0.1595,5.98006644518273,0.9890109890109903,13.523131672597854,4.521625163826991,1,-3.6363636363636362,-1.6300940438871419,-11.912225705329146,0.1076,-32.539184952978054,2026-05-09 14:00
AKTUSDT,2026-05-08 17:00:00+00:00,14817,0.7254,5.0390964378801115,0.9405405405405411,40.554156171284646,5.0390964378801115,1,10.918114143920587,16.83209263854425,3.5015164047422083,0.6748,-6.975461814171504,2026-05-09 02:00
JUPUSDT,2026-05-08 16:00:00+00:00,19852,0.2321,5.595996360327573,0.9111111111111106,29.664804469273747,5.595996360327573,1,7.41059887979319,3.1882809133993923,-8.918569582076689,0.1811,-21.973287376130973,2026-05-09 01:00
STRKUSDT,2026-05-08 09:00:00+00:00,19364,0.05641,5.97606567848354,0.9244405696018609,44.039016418558326,5.97606567848354,1,1.4908704130473345,-10.423683744017023,-19.67381669916682,0.034005,-39.71813508243219,2026-05-08 18:00
AZTECUSDT,2026-05-07 21:00:00+00:00,2028,0.02264,5.155596841616348,0.982300884955753,16.94214876033059,3.002729754322115,1,11.395759717314483,6.448763250883389,4.770318021201418,0.02079,-8.171378091872796,2026-05-08 06:00
COOKIEUSDT,2026-05-07 19:00:00+00:00,11649,0.01935,5.795516675779106,0.905982905982904,19.150246305418705,4.312668463611852,1,-1.5503875968992153,5.271317829457365,-6.40826873385012,0.01089,-43.72093023255814,2026-05-08 04:00
APPUSDT,2026-05-07 14:00:00+00:00,5765,497.02,6.88602150537634,1.0,12.651858567543064,2.3053805936355003,1,-7.581183855780453,-5.6939358577119545,-7.717999275683063,569.15,14.51249446702346,2026-05-07 23:00
JTOUSDT,2026-05-06 13:00:00+00:00,21023,0.4305,6.983101391650102,0.9064516129032254,26.506024096385545,6.348814229249013,1,11.986062717770029,26.271777003484313,17.653890824622522,0.6146,42.76422764227643,2026-05-06 22:00
USELESSUSDT,2026-05-06 09:00:00+00:00,7103,0.0475,5.2281789986708045,0.9477911646586352,14.100408359356233,5.2281789986708045,1,3.789473684210518,7.305263157894738,46.31578947368422,0.09331,96.4421052631579,2026-05-06 18:00
NEARUSDT,2026-05-06 08:00:00+00:00,38280,1.425,5.026533018867927,0.9459084604715671,5.096246035843347,4.098181021257947,1,3.5087719298245648,11.150877192982458,13.78245614035087,2.6969,89.25614035087717,2026-05-06 17:00
IOUSDT,2026-05-06 06:00:00+00:00,16648,0.1835,45.51942902458367,0.9169329073482426,54.33137089991589,45.28899445764054,1,-11.825613079019073,-10.463215258855584,-17.92915531335149,0.1752,-4.52316076294278,2026-05-06 15:00
FILUSDT,2026-05-06 01:00:00+00:00,48591,1.0345,5.399898115129897,0.9447415329768253,12.360160747257524,4.653515427415268,1,2.2136297728371117,23.19961333977767,6.90188496858387,0.884,-14.548090865152243,2026-05-06 10:00
ANKRUSDT,2026-05-06 00:00:00+00:00,27980,0.005364,8.079790449324992,0.9218390804597696,7.065868263473058,6.449692399285569,1,-4.735272184936613,-3.2252050708426463,-4.026845637583894,0.00411,-23.37807606263982,2026-05-06 09:00
