Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,close_ma_atr,gap_in_atr,Name,entry_month,cma_bucket
004360,2026-02-02,14000,2026-02-19,15520,10,10.857142857142854,TIMEOUT,0.03967168262653899,0.3953488372093023,세방,2026-02,≤0.5
004360,2026-03-26,15740,2026-03-31,14700,3,-6.607369758576875,STOP,0.9670905011219147,0.1219147344801795,세방,2026-03,0.5~1.0
004360,2026-04-01,15320,2026-04-02,14800,1,-3.394255874673624,STOP,0.4745065789473684,0.4300986842105263,세방,2026-04,≤0.5
004360,2026-04-03,15070,2026-04-06,14800,1,-1.791639017916391,STOP,0.03125,0.3471283783783784,세방,2026-04,≤0.5
004360,2026-04-21,15570,2026-05-07,15920,10,2.247912652536921,TIMEOUT,0.8300865800865801,0.046536796536796536,세방,2026-04,0.5~1.0
004365,2025-09-10,8990,2025-09-24,9040,10,0.5561735261401468,TIMEOUT,0.6728971962616822,0.13551401869158877,세방우,2025-09,0.5~1.0
004365,2026-02-03,9100,2026-02-20,10040,10,10.329670329670337,TIMEOUT,0.9724310776942355,0.06516290726817042,세방우,2026-02,0.5~1.0
004365,2026-04-01,9330,2026-04-02,9230,1,-1.0718113612004254,STOP,0.2565947242206235,0.05515587529976019,세방우,2026-04,≤0.5
004365,2026-04-17,9430,2026-05-04,10420,10,10.498409331919412,TIMEOUT,0.8892215568862275,0.05688622754491018,세방우,2026-04,0.5~1.0
004370,2025-11-10,434500,2025-11-11,426500,1,-1.8411967779056404,STOP,0.2154566744730679,0.13114754098360656,농심,2025-11,≤0.5
004410,2026-03-12,210,2026-03-16,198,2,-5.714285714285716,STOP,0.38662790697674454,0.4622093023255816,서울식품,2026-03,≤0.5
004415,2025-09-10,1247,2025-09-18,1236,6,-0.8821170809943824,STOP,0.3878676470588219,0.06433823529411765,서울식품우,2025-09,≤0.5
004415,2025-12-16,1223,2025-12-23,1210,5,-1.0629599345870822,STOP,0.964169381107489,0.06514657980456026,서울식품우,2025-12,0.5~1.0
004430,2026-03-30,8900,2026-04-02,8910,3,0.11235955056179137,STOP,0.019461077844311378,0.4236526946107784,송원산업,2026-03,≤0.5
004430,2026-04-03,9040,2026-04-07,8830,2,-2.3230088495575174,STOP,0.4061433447098976,0.47440273037542663,송원산업,2026-04,≤0.5
004430,2026-04-08,9180,2026-04-22,10330,10,12.527233115468416,TIMEOUT,0.6852791878172588,0.19458544839255498,송원산업,2026-04,0.5~1.0
004440,2025-09-09,4970,2025-09-16,4900,5,-1.4084507042253502,STOP,0.295364238410596,0.02781456953642384,삼일씨엔에스,2025-09,≤0.5
004440,2025-09-18,4950,2025-09-22,4875,2,-1.5151515151515138,STOP,0.08776978417266187,0.20863309352517986,삼일씨엔에스,2025-09,≤0.5
004440,2026-01-19,5740,2026-01-23,5760,4,0.34843205574912606,STOP,0.35777998017839446,0.4588701684836472,삼일씨엔에스,2026-01,≤0.5
004440,2026-01-28,5900,2026-01-30,5800,2,-1.6949152542372836,STOP,0.15246636771300448,0.017937219730941704,삼일씨엔에스,2026-01,≤0.5
004440,2026-02-02,5830,2026-02-19,6050,10,3.7735849056603765,TIMEOUT,0.022566995768688293,0.08744710860366714,삼일씨엔에스,2026-02,≤0.5
004440,2026-02-11,6150,2026-02-20,5790,4,-5.853658536585371,STOP,0.5103448275862069,0.3448275862068966,삼일씨엔에스,2026-02,0.5~1.0
004440,2026-02-13,6070,2026-02-20,5790,2,-4.612850082372322,STOP,0.1646090534979424,0.4554183813443073,삼일씨엔에스,2026-02,≤0.5
004490,2025-12-19,66400,2025-12-23,65500,2,-1.3554216867469826,STOP,0.4456094364351245,0.3722149410222805,세방전지,2025-12,≤0.5
004490,2026-01-23,64200,2026-02-02,62100,6,-3.2710280373831724,STOP,0.6656716417910448,0.12238805970149254,세방전지,2026-01,0.5~1.0
004490,2026-01-30,63800,2026-02-02,62100,1,-2.6645768025078342,STOP,0.41324921135646686,0.48264984227129337,세방전지,2026-01,≤0.5
004490,2026-02-03,63700,2026-02-06,63000,3,-1.098901098901095,STOP,0.27794561933534745,0.3806646525679758,세방전지,2026-02,≤0.5
004490,2026-02-05,64300,2026-02-06,63000,1,-2.021772939346811,STOP,0.4575757575757576,0.29393939393939394,세방전지,2026-02,≤0.5
004490,2026-02-09,65000,2026-02-26,71600,10,10.153846153846157,TIMEOUT,0.7219101123595506,0.1544943820224719,세방전지,2026-02,0.5~1.0
004540,2026-03-30,2040,2026-04-13,2095,10,2.6960784313725394,TIMEOUT,0.9795724465558187,0.3021377672209022,깨끗한나라,2026-03,0.5~1.0
004540,2026-04-10,2085,2026-04-21,2030,7,-2.637889688249395,STOP,0.9106548279689229,0.4833518312985567,깨끗한나라,2026-04,0.5~1.0
004560,2025-09-17,11730,2025-09-19,11600,2,-1.1082693947144118,STOP,0.2714285714285714,0.07142857142857142,현대비앤지스틸,2025-09,≤0.5
004560,2026-04-21,15860,2026-05-07,17100,10,7.81841109709962,TIMEOUT,0.5380818053596615,0.10930888575458392,현대비앤지스틸,2026-04,0.5~1.0
