이격_측정시점_일전,과거_이격_이하_pct,현재_근접_이내_pct,보유기간_일,표본수_중복제거,표본수_원본,윈율,평균_숏수익_capped,평균_숏수익_raw,중위_숏수익,p25_숏수익,p75_숏수익,표준편차,최대손실,Sharpe_like
30,0.3,0.08,10,591,2835,0.6852791878172588,0.04981746905367914,0.04951720618203302,0.07740585774058573,-0.030971384554870918,0.15854673584329831,0.16949944953685997,-1.1774553571428572,0.29213785836670125
30,0.3,0.08,20,538,2619,0.70817843866171,0.0599126420453763,0.059573069717460486,0.09474834479195593,-0.025299659194812973,0.21528120163634526,0.22301289440907693,-1.0952643171806167,0.2671283643724404
30,0.3,0.08,40,466,2266,0.723175965665236,0.10368631328012452,0.10094424039501532,0.14686359476475586,-0.029494660548484986,0.30226328912501643,0.29348733706476904,-1.6952092511013213,0.343947515434842
30,0.3,0.08,60,443,2167,0.6772009029345373,0.04823095982619632,0.03830160196295813,0.1312320916905445,-0.08402097625753746,0.2612729856706787,0.3787457498950846,-2.7907396271797955,0.10112747660816777
30,0.4,0.03,10,151,385,0.6622516556291391,0.03445151360661242,0.03445151360661242,0.09098070106341083,-0.061842365219508366,0.15509667880611722,0.19337306865232887,-0.9109042553191491,0.17816086721235114
30,0.4,0.03,20,147,375,0.7278911564625851,0.08896614070963586,0.08896614070963586,0.1282051282051283,-0.014102514146968614,0.24917696040060133,0.2236262923076355,-0.8269966828272519,0.3978339925577624
30,0.4,0.03,40,132,336,0.7878787878787878,0.19607585184256213,0.18337935381817436,0.26942805171533735,0.08501429642984942,0.36675498782454696,0.3367578471112796,-2.6759377392191888,0.5445436695572464
30,0.4,0.03,60,130,330,0.8076923076923077,0.12826293456205673,0.12033116232816662,0.171992787678849,0.03579998235296997,0.2916072413391859,0.33110253300076725,-2.0311303904057154,0.36342567735018744
30,0.4,0.05,10,192,628,0.6979166666666666,0.04855183152048601,0.04855183152048601,0.09134684770254975,-0.025432267742770243,0.16574317143623105,0.18112130936706228,-0.8721117678667383,0.26806250291670747
30,0.4,0.05,20,185,606,0.7189189189189189,0.08478853695084342,0.08478853695084342,0.13944335113859996,-0.018861194096401634,0.24988558352402745,0.22654862542767687,-0.8269966828272519,0.37426197925844934
30,0.4,0.05,40,169,550,0.7869822485207101,0.18920509922698578,0.17928830787065922,0.2626832018038331,0.06527845900031204,0.3611885605034654,0.3138786462774285,-2.6759377392191888,0.5712026287770826
30,0.4,0.05,60,165,538,0.7818181818181819,0.1249082641369561,0.10976836328031322,0.18284048313202828,0.03305059959052348,0.3035946297098311,0.38140822969750565,-2.4669532509403544,0.28779757418283913
30,0.4,0.08,10,259,1044,0.6833976833976834,0.04823592127041803,0.04823592127041803,0.0858747993579454,-0.03052660253588102,0.16424876737583705,0.17255856848443488,-0.6885147324113048,0.27953361976788194
30,0.4,0.08,20,245,997,0.7142857142857143,0.07722098879974708,0.07683215485207108,0.12513966480446925,-0.018861194096401634,0.23946939725389815,0.231742115194564,-1.0952643171806167,0.33154161377859614
30,0.4,0.08,40,223,914,0.7668161434977578,0.15763691861439488,0.15264945619635,0.2151205259313368,0.0381499520139843,0.34691628963297766,0.3012571870383886,-1.6952092511013213,0.5067080978117816
30,0.4,0.08,60,218,890,0.7431192660550459,0.08329680830304753,0.06621646576265534,0.1753428584894432,-0.004989615811603454,0.27427246928134297,0.4155896132798663,-2.7907396271797955,0.15933137799106606
30,0.5,0.03,10,55,107,0.6363636363636364,0.009695745797814875,0.009695745797814875,0.07911368875009295,-0.07980749635123585,0.15401177423047235,0.23182304555439973,-0.9109042553191491,0.0418239082944826
30,0.5,0.03,20,55,107,0.7272727272727273,0.06771256685255031,0.06771256685255031,0.09958957025591508,-0.027202446207694075,0.26597518274087106,0.2540052484814216,-0.8269966828272519,0.2665794004548018
30,0.5,0.03,40,51,99,0.8431372549019608,0.20719167842849479,0.1743301541300793,0.2938428366075706,0.1366086399849647,0.4011865560594834,0.4651003750635382,-2.6759377392191888,0.3748226479203844
30,0.5,0.03,60,50,98,0.8,0.1251939521027854,0.10457134429467108,0.17130024159894575,0.035716457882357,0.28756464609136856,0.3830202180503186,-2.0311303904057154,0.2730178182942113
30,0.5,0.05,10,69,176,0.6521739130434783,0.023860993844387744,0.023860993844387744,0.07621366386306616,-0.06126434827341165,0.15945367780154684,0.2128175158834293,-0.9109042553191491,0.11211950174936539
30,0.5,0.05,20,69,176,0.7246376811594203,0.07489846329639065,0.07489846329639065,0.13389931486446238,-0.021610145477214848,0.26022988505747136,0.24574326104001268,-0.8269966828272519,0.30478338644735187
30,0.5,0.05,40,64,165,0.875,0.23026436058577326,0.20407783341047342,0.29447481326712605,0.1464583490550368,0.40552913983084127,0.4166764771810871,-2.6759377392191888,0.4897752683115381
30,0.5,0.05,60,63,163,0.8412698412698413,0.15038309864506233,0.13401594959100332,0.18639302783244305,0.05779782500471764,0.2887786691895916,0.34462327553182204,-2.0311303904057154,0.3888766636095317
30,0.5,0.08,10,93,291,0.6666666666666666,0.03522080969339077,0.03522080969339077,0.07911368875009295,-0.05431007262393428,0.15919873484449132,0.19336858050762123,-0.6885147324113048,0.18214339475901883
30,0.5,0.08,20,90,285,0.7333333333333333,0.07404490167150651,0.07298640925838853,0.160444549731031,-0.020579806417328206,0.256443890538423,0.2630563700695779,-1.0952643171806167,0.27745539573546074
30,0.5,0.08,40,85,271,0.8823529411764706,0.230075210256279,0.22189627789038105,0.2938428366075706,0.1374887777350262,0.39776518972608066,0.2892861345591378,-1.6952092511013213,0.767047747478611
30,0.5,0.08,60,84,269,0.8333333333333334,0.14300826737907726,0.11160432384174697,0.20655014298055968,0.0734398232817069,0.2835472266560621,0.43381825542897834,-2.7907396271797955,0.2572605519594554
40,0.2,0.03,10,964,3364,0.6524896265560166,0.02290777690170512,0.02219036884076988,0.05980777920248198,-0.04778807461743806,0.12738467986777152,0.17752432675074015,-1.5158471817714583,0.12499903110139446
40,0.2,0.03,20,844,2964,0.6658767772511849,0.015535195912185619,0.009985187311114748,0.06741409423133327,-0.06662811732471163,0.15652792985240727,0.2848012989245129,-4.3467534692479015,0.03506018880118008
40,0.2,0.03,40,749,2626,0.5941255006675568,-0.011633215533880706,-0.02225028943352401,0.05624296962879649,-0.14784995425434588,0.20527950310559007,0.3707483645194162,-3.5465136200102796,-0.06001453158766061
40,0.2,0.03,60,716,2529,0.5670391061452514,-0.042169990455836026,-0.07036287372863839,0.04673356578895632,-0.23405776811235618,0.18822193292549272,0.4695216319008969,-4.002912455028268,-0.14986077093779154
40,0.2,0.05,10,1167,5646,0.6358183376178235,0.021848453128247423,0.020886925308835447,0.05368098159509205,-0.046283976109718794,0.1277256736210845,0.17897819096105744,-1.8173913043478258,0.11670095220361279
40,0.2,0.05,20,1025,4977,0.6614634146341464,0.0149756001494224,0.010735215485633323,0.06246514221974353,-0.06940063091482651,0.1539741989180191,0.261558656246666,-2.7937056576314356,0.04104324299444844
40,0.2,0.05,40,905,4346,0.594475138121547,-0.00827181781437404,-0.018301238840272026,0.053003533568904526,-0.15701988720688642,0.20571658615136867,0.3645509370687627,-3.6157904311442612,-0.05020214455468535
40,0.2,0.05,60,864,4183,0.5543981481481481,-0.045644557040250174,-0.07560421340747113,0.03633799811746308,-0.2270412813855639,0.19112555427321876,0.4777720729572554,-4.120065490267418,-0.15824326637491676
40,0.2,0.08,10,1397,9310,0.6163206871868289,0.017645330065607555,0.016363434884489974,0.041934653974787794,-0.05358741527049493,0.12745556594948548,0.17851464618692064,-1.8173913043478258,0.09166438291766833
40,0.2,0.08,20,1241,8236,0.6381950040290089,0.012580749742804279,0.007034058284734031,0.057350800582241734,-0.06357927786499218,0.15526552655265524,0.2739029485243977,-2.936778388073086,0.02568084178220329
40,0.2,0.08,40,1107,7132,0.5853658536585366,-0.008242515450971348,-0.023800840844042884,0.05173793226064538,-0.1473421461351272,0.19173662039656747,0.4209594136686115,-7.091357471135522,-0.05653951443114521
40,0.2,0.08,60,1041,6824,0.5523535062439962,-0.04965534207091001,-0.08724370772964697,0.03607947290464264,-0.25145126794989303,0.19171917191719168,0.5225054615309617,-5.647348951911221,-0.16697185800511913
40,0.3,0.03,10,514,1572,0.7023346303501945,0.04533995894781446,0.04531991231935666,0.08059716154681834,-0.025691644822507853,0.14539091638901777,0.16297616021747166,-1.0103039670273057,0.2780769424122081
40,0.3,0.03,20,444,1396,0.704954954954955,0.05307596648650279,0.05307596648650279,0.08999099895874058,-0.03291133664950413,0.19861261992269635,0.21088348508790714,-0.8916311420237828,0.2516838455338406
40,0.3,0.03,40,394,1256,0.6573604060913706,0.059432831868668434,0.05369533204330411,0.10118816409374348,-0.08932519414504414,0.2766437005153999,0.32932894913874056,-2.6759377392191888,0.16304467670919268
