symbol,combo,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2
RSRUSDT,1d_MA20,1d,20,10,2026-06-26,0.001236,0.00133555,-7.45385796113961,-0.691526936089526,low_a,0.07102590236260269,-1.548694194345757,1.2113688596773675,0.9994745655464772
RSRUSDT,1w_MA10,1w,10,10,2026-06-22,0.001236,0.0016204,-23.72253764502592,-4.316504281074696,low_a,-0.3026478967564524,2.845947948991519,0.5224163824791124,0.9122490667219987
RSRUSDT,1w_MA20,1w,20,10,2026-06-22,0.001236,0.0015928500000000003,-22.40323947641023,-2.7920175759794663,low_a,0.047983433413679895,-2.9051940102247813,3.3636539895599804,0.9904756080717141
RSRUSDT,1M_MA10,1M,10,10,2026-06-01,0.001236,0.0026194,-52.81362144002444,-31.52611491608721,vertex_out,0.21968818958117345,-13.546581250963524,3.4257091776782778,0.9970660001843168
RSRUSDT,1M_MA20,1M,20,10,2026-06-01,0.001236,0.00567755,-78.23004641086384,-8.099774196942345,low_a,-0.03501194669698277,-2.859690990777458,-4.537643196045134,0.9874381270614456
RUNEUSDT,1d_MA20,1d,20,10,2026-06-26,0.3973,0.395505,0.4538501409590223,1.9355919535045674,low_a,0.08641423902306766,-0.5424019045954721,0.34870918826408903,0.9822880074265976
RUNEUSDT,1w_MA10,1w,10,10,2026-06-22,0.3973,0.44909,-11.53220957937162,0.2455411951159503,low_a,-0.23023223327163791,2.7592876317093995,0.6658223096690649,0.8531423242355013
RUNEUSDT,1w_MA20,1w,20,10,2026-06-22,0.3973,0.42607999999999996,-6.754600075103257,-0.8043582013107287,low_a,-0.04668803151222613,-1.0128637345509823,-1.2052383802114077,0.9511346283249608
RUNEUSDT,1M_MA10,1M,10,10,2026-06-01,0.3973,0.5776000000000001,-31.21537396121885,-22.63491340628724,vertex_out,0.6977331926978593,-17.04050333800425,1.3568146675502561,0.9682305507631761
RUNEUSDT,1M_MA20,1M,20,10,2026-06-01,0.3973,1.3917,-71.45218078608895,-26.15977227688626,vertex_out,0.30209957239944096,-12.429953245253206,2.285845532930984,0.9957258008400064
RVNUSDT,1d_MA20,1d,20,10,2026-06-26,0.003832,0.00417835,-8.289157203202224,-0.9118288749762948,low_a,0.05542039324349957,-1.4762798969053919,1.4798803297502257,0.9979926029032732
RVNUSDT,1w_MA10,1w,10,10,2026-06-22,0.003832,0.0051015999999999995,-24.8863101771993,-6.222312089851312,low_a,-0.3047072611360692,1.6885106652576218,0.3078566218610001,0.9862338644191205
RVNUSDT,1w_MA20,1w,20,10,2026-06-22,0.003832,0.005395,-28.97126969416126,-3.5453131425098094,low_a,-0.06601922438552037,-1.168179228990357,-0.9830295138888929,0.9915876316002605
RVNUSDT,1M_MA10,1M,10,10,2026-06-01,0.003832,0.006846099999999999,-44.02652605132849,-20.690214432177576,low_a,0.04762052264725576,-7.349742564344683,8.574434060227867,0.9888753447668025
RVNUSDT,1M_MA20,1M,20,10,2026-06-01,0.003832,0.01106005,-65.35277869449054,-10.321858745403611,vertex_out,0.4918970007835234,-10.661892588768593,1.2041695011337832,0.9922162610030988
SAFEUSDT,1d_MA20,1d,20,10,2026-06-26,0.0845,0.0895,-5.586592178770944,-1.1650378223179492,vertex_out,0.10810641969592191,-2.5511637147802197,1.3110351622636938,0.9989067557270358
SAFEUSDT,1w_MA10,1w,10,10,2026-06-22,0.0845,0.12097,-30.147970571216,-8.639830828487282,low_a,-0.6034515391578046,6.314265342822751,0.5813101736972702,0.9483583240697248
SAFEUSDT,1w_MA20,1w,20,10,2026-06-22,0.0845,0.11634,-27.368059137012203,-2.1530698065601372,low_a,-0.20060412510457337,0.5862174499353364,0.16234778866357524,0.9360581672719046
SAFEUSDT,1M_MA10,1M,10,10,2026-06-01,0.0845,0.15495,-45.46627944498225,-29.548967900336443,vertex_out,0.7291057369061449,-19.64319532238468,1.4967494751201618,0.9972860490878028
SAHARAUSDT,1d_MA20,1d,20,10,2026-06-26,0.01176,0.0163805,-28.207319678886478,-11.53565738665514,low_a,-0.02445921601982714,-4.604432540057771,-10.458299545399537,0.9999567680224728
SAHARAUSDT,1w_MA10,1w,10,10,2026-06-22,0.01176,0.027034000000000002,-56.49922320041429,-6.258885536946501,low_a,-0.6674407631929877,8.370195884972452,0.6967073456435169,0.9623203319326272
SAHARAUSDT,1w_MA20,1w,20,10,2026-06-22,0.01176,0.024288999999999998,-51.5830211206719,-1.8090675722111205,low_a,-0.1931429442721754,2.5574566448972846,0.7356257576579995,0.8584570704470188
SANDUSDT,1d_MA20,1d,20,10,2026-06-26,0.04709,0.052215,-9.81518720674135,-0.9024397187348709,low_a,0.07652836504580464,-1.6130964604570153,1.1710229268814443,0.9978651606829042
SANDUSDT,1w_MA10,1w,10,10,2026-06-22,0.04709,0.065591,-28.20661371224711,-6.96312056737588,low_a,-0.21022026127595328,0.050813246167377715,0.0134285729799575,0.9955244616736738
SANDUSDT,1w_MA20,1w,20,10,2026-06-22,0.04709,0.0723075,-34.8753587110604,-5.372157696711943,low_a,-0.08000584897194071,-2.5727631906703836,-1.7865104890106858,0.9921037122994445
SANDUSDT,1M_MA10,1M,10,10,2026-06-01,0.04709,0.117791,-60.02241257821056,-26.95267684942295,vertex_out,0.3980674060000861,-13.943708670217495,1.9460284112751047,0.9939136847086606
SANDUSDT,1M_MA20,1M,20,10,2026-06-01,0.04709,0.24334699999999998,-80.6490320406662,-7.5243115064963835,vertex_out,0.3415260022497603,-7.889226217952007,1.2833293586859995,0.9973146004857171
SANTOSUSDT,1d_MA20,1d,20,10,2026-06-26,0.5721,0.6148300000000001,-6.949888587089125,-0.5298452528292197,low_a,0.07088400597780692,-1.9143485712751718,1.5003765227020915,0.988556649110228
SANTOSUSDT,1w_MA10,1w,10,10,2026-06-22,0.5721,0.8821399999999999,-35.14634865214137,-11.207963844628532,low_a,-0.15275571608226712,-1.9413014644448994,-0.7060297586505171,0.9817873835903626
SANTOSUSDT,1w_MA20,1w,20,10,2026-06-22,0.5721,1.09007,-47.51713192730742,-11.491196375431855,low_a,-0.3193870380040959,-1.213047574278418,-0.2110027142162617,0.9961577902430397
SANTOSUSDT,1M_MA10,1M,10,10,2026-06-01,0.5721,1.41671,-59.61770581135164,-16.22553367630537,low_a,-0.008437908384670553,-5.338096303067391,-35.14625807797806,0.9889350559272172
SAPIENUSDT,1d_MA20,1d,20,10,2026-06-26,0.08028,0.08084100000000001,-0.6939548001632878,0.8111933458452292,pass,0.10777290215319936,-1.4373554650955824,0.740938397304062,0.996867141892346
SAPIENUSDT,1w_MA10,1w,10,10,2026-06-22,0.08028,0.094107,-14.692849628614224,0.30911242098978775,low_a,-0.18514426285414393,4.092508287981843,1.228023855827829,0.9641043944463518
SAPIENUSDT,1w_MA20,1w,20,10,2026-06-22,0.08028,0.085674,-6.29595910077736,-0.8196151976106125,low_a,0.021169203641535725,-1.9753273293018618,5.183964831256904,0.9650477048096427
SCRTUSDT,1d_MA20,1d,20,10,2026-06-26,0.05132,0.057201499999999995,-10.282073022560589,-1.934681981827524,low_a,0.047479079443426685,-2.0519289371952802,2.4009743533935937,0.9976612133852398
SCRTUSDT,1w_MA10,1w,10,10,2026-06-22,0.05132,0.080056,-35.89487358848806,-9.456326272096993,low_a,-0.5566590652779252,4.311600146603803,0.43030529172896226,0.9893289501973823
SCRTUSDT,1w_MA20,1w,20,10,2026-06-22,0.05132,0.081963,-37.38638166001732,-6.342450021996604,low_a,-0.286547767706721,0.2920522144313304,0.05662275143099024,0.9867884903095274
SCRTUSDT,1M_MA10,1M,10,10,2026-06-01,0.05132,0.103752,-50.53589328398489,-17.21034152569422,vertex_out,0.620625231178667,-13.698940163369745,1.2262669853962571,0.9812621179392538
SEIUSDT,1d_MA20,1d,20,10,2026-06-26,0.05375,0.052988999999999994,1.4361471248749869,1.645853714680312,pass,0.157756445547714,-2.018880095745058,0.7109693992518783,0.9574711766120064
SEIUSDT,1w_MA10,1w,10,10,2026-06-22,0.05375,0.059956999999999996,-10.352419233784204,0.14698758957054636,low_r2,0.0321113015355026,-0.25351261008973575,0.4386005306668355,0.19736045719533424
SEIUSDT,1w_MA20,1w,20,10,2026-06-22,0.05375,0.060746499999999995,-11.5175359897278,-4.104409872684367,low_a,0.09091625714523947,-4.4009738914921686,2.689272053256155,0.994081405057633
SEIUSDT,1M_MA10,1M,10,10,2026-06-01,0.05375,0.10994000000000001,-51.10969619792615,-29.292669436476583,low_a,-0.23714807277625438,-6.425292476821731,-1.5052228296771775,0.9912425282284194
SEIUSDT,1M_MA20,1M,20,10,2026-06-01,0.05375,0.2090445,-74.28777126401316,-14.782844424152497,vertex_out,0.41182167668821934,-10.361544002317125,1.397792700207637,0.9921980703450838
SENTUSDT,1d_MA20,1d,20,10,2026-06-26,0.01292,0.015081,-14.329288508719596,0.1660467587672798,low_a,-0.015516241357796057,0.23745773431317505,0.850212113006585,0.877382266322686
SENTUSDT,1w_MA10,1w,10,10,2026-06-22,0.01292,0.015548999999999999,-16.907839732458672,-2.2935779816513957,vertex_out,0.18248100379656768,-4.061780747258262,1.2365916520842635,0.9858598467647647
SFPUSDT,1d_MA20,1d,20,10,2026-06-26,0.2086,0.23367500000000002,-10.730715737669849,-0.6695005313496205,low_a,0.0636523910021353,-1.4558907857222998,1.2706957296592885,0.9963550715509237
SFPUSDT,1w_MA10,1w,10,10,2026-06-22,0.2086,0.27572,-24.343536921514584,-5.012574499603817,low_a,-0.33200876626334386,2.5479851466289105,0.4263584120426325,0.9863279655168826
SFPUSDT,1w_MA20,1w,20,10,2026-06-22,0.2086,0.276875,-24.65914221218961,-2.1037744188102225,low_a,-0.11089453127991786,-0.09058887842210951,-0.04538290039922247,0.9697767275029258
SFPUSDT,1M_MA10,1M,10,10,2026-06-01,0.2086,0.31833999999999996,-34.4725764905447,-11.473859844271427,vertex_out,0.31463729117613953,-8.528606302319702,1.5058973444274137,0.996505328039666
SFPUSDT,1M_MA20,1M,20,10,2026-06-01,0.2086,0.443475,-52.962399233327695,-9.310743243934116,low_a,0.0018464549561235933,-4.444974447946354,133.73899215193165,0.9992593844773492
SHELLUSDT,1d_MA20,1d,20,10,2026-06-26,0.02137,0.024614,-13.17949134638824,-1.7581671955137823,low_a,0.010507433746690897,-1.3356699531000664,7.0620370370363785,0.9961737368651273
SHELLUSDT,1w_MA10,1w,10,10,2026-06-22,0.02137,0.030767,-30.542464328663822,-4.453277848514004,low_a,-0.35907579011026974,3.5743662467800204,0.5530194685024816,0.9471869158555867
SHELLUSDT,1w_MA20,1w,20,10,2026-06-22,0.02137,0.0302465,-29.347197196369823,-3.436771701305763,low_a,-0.06694082059909595,-1.7183609004988811,-1.426102841551502,0.9855804784951364
SHIBUSDT,1d_MA20,1d,20,10,2026-06-26,4.247e-06,4.71905e-06,-10.003072652334687,-0.6672630637267862,low_a,0.030736218391683,-0.9265803340624549,1.6747891549215814,0.9972693178595053
SHIBUSDT,1w_MA10,1w,10,10,2026-06-22,4.247e-06,5.4447000000000006e-06,-21.997538891031652,-4.824584404006494,low_a,-0.2599890187826227,1.6610005423745573,0.3549296364199569,0.9785998651327233
SHIBUSDT,1w_MA20,1w,20,10,2026-06-22,4.247e-06,5.6523999999999994e-06,-24.863774679782026,-3.2827137785002347,low_a,-0.04715703567175386,-1.5374026316197587,-1.811209209729196,0.987132333010714
SHIBUSDT,1M_MA10,1M,10,10,2026-06-01,4.247e-06,7.1617e-06,-40.698437521817446,-17.169392334204623,vertex_out,0.2051971278076672,-8.842231887849927,2.393966768097212,0.9958120105336435
SHIBUSDT,1M_MA20,1M,20,10,2026-06-01,4.247e-06,1.134105e-05,-62.55196829217753,-10.176659974100943,vertex_out,0.14206890931822108,-5.900279420058629,2.30728385744232,0.9898732465720175
SIGNUSDT,1d_MA20,1d,20,10,2026-06-26,0.00837,0.0088325,-5.23634305123124,-0.4564408880874615,low_a,0.07558987567556474,-1.5654657010470925,1.1505550967978717,0.9983785313308715
SIGNUSDT,1w_MA10,1w,10,10,2026-06-22,0.00837,0.012239,-31.612059808807903,-21.074353517766163,low_a,0.017211855063706656,-11.797394913951296,38.07903483540628,0.981084785509618
SIGNUSDT,1w_MA20,1w,20,10,2026-06-22,0.00837,0.0233485,-64.15187271130908,-8.728964290600628,low_a,-0.08634961213735366,-3.610450008788298,-2.322888905681904,0.99690418062934
SIRENUSDT,1d_MA20,1d,20,10,2026-06-26,0.03363,0.29232,-88.49548440065682,-20.889827068279608,low_a,-0.259148861720577,-4.165877072919546,-0.8930682296870006,0.9995002470600909
