621 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 366/621] MYXUSDT              rows=  6673  ( 0.1s)
[ 367/621] NAORISUSDT           rows=  7655  ( 0.1s)
[ 368/621] NATGASUSDT           rows=  1797  ( 0.1s)
[ 369/621] NBISUSDT             rows=  1298  ( 0.1s)
[ 370/621] NDX100USDT           rows=   577  ( 0.1s)
[ 371/621] NEARUSDT             rows= 39239  ( 0.1s)
[ 372/621] NEIROCTOUSDT         rows= 14736  ( 0.1s)
[ 373/621] NEOUSDT              rows= 37725  ( 0.1s)
[ 374/621] NEWTUSDT             rows=  8544  ( 0.1s)
[ 375/621] NFLXUSDT             rows=  1629  ( 0.1s)
[ 376/621] NIGHTUSDT            rows=  4484  ( 0.1s)
[ 377/621] NILUSDT              rows= 10746  ( 0.1s)
[ 378/621] NIOUSDT              rows=   840  ( 0.1s)
[ 379/621] NMRUSDT              rows= 10877  ( 0.1s)
[ 380/621] NOCUSDT              rows=   331  ( 0.1s)
[ 381/621] NOKSTOCKUSDT         rows=   647  ( 0.1s)
[ 382/621] NOTUSDT              rows= 18232  ( 0.1s)
[ 383/621] NOWUSDT              rows=   331  ( 0.1s)
[ 384/621] NTAPUSDT             rows=   331  ( 0.1s)
[ 385/621] NVDAUSDT             rows=  7203  ( 0.1s)
[ 386/621] NXPCUSDT             rows=  9506  ( 0.1s)
[ 387/621] OGNUSDT              rows= 24960  ( 0.1s)
[ 388/621] OGUSDT               rows= 14736  ( 0.1s)
[ 389/621] OKLOUSDT             rows=  1152  ( 0.1s)
[ 390/621] ONDOUSDT             rows= 19436  ( 0.1s)
[ 391/621] ONDSUSDT             rows=   647  ( 0.1s)
[ 392/621] ONEUSDT              rows= 32686  ( 0.1s)
[ 393/621] ONGUSDT              rows= 18957  ( 0.1s)
[ 394/621] ONTUSDT              rows= 27885  ( 0.1s)
[ 395/621] OPENAIUSDT           rows=   477  ( 0.1s)
[ 396/621] OPENUSDT             rows=  6716  ( 0.1s)
[ 397/621] OPGUSDT              rows=  1276  ( 0.1s)
[ 398/621] OPNUSDT              rows=  2711  ( 0.1s)
[ 399/621] OPUSDT               rows= 35116  ( 0.1s)
[ 400/621] ORCAUSDT             rows= 13340  ( 0.1s)
[ 401/621] ORCLUSDT             rows=  6694  ( 0.1s)
[ 402/621] ORDERUSDT            rows= 15743  ( 0.1s)
[ 403/621] ORDIUSDT             rows= 26896  ( 0.1s)
[ 404/621] OSSUSDT              rows=   116  ( 0.1s)
[ 405/621] OUSTUSDT             rows=   647  ( 0.1s)
[ 406/621] OXYUSDT              rows=  2281  ( 0.1s)
[ 407/621] PANWUSDT             rows=   477  ( 0.1s)
[ 408/621] PARTIUSDT            rows= 10724  ( 0.1s)
[ 409/621] PAXGUSDT             rows= 17183  ( 0.1s)
[ 410/621] PENDLEUSDT           rows= 25250  ( 0.1s)
[ 411/621] PENGUUSDT            rows= 13057  ( 0.1s)
[ 412/621] PEOPLEUSDT           rows= 37895  ( 0.1s)
[ 413/621] PEPEUSDT             rows= 27280  ( 0.1s)
[ 414/621] PHAUSDT              rows= 12764  ( 0.1s)
[ 415/621] PIEVERSEUSDT         rows=  5040  ( 0.1s)
[ 416/621] PIPPINUSDT           rows= 12315  ( 0.1s)
[ 417/621] PIUSDT               rows= 11519  ( 0.1s)
[ 418/621] PIXELUSDT            rows= 20274  ( 0.1s)
[ 419/621] PLTRUSDT             rows=  6694  ( 0.1s)
[ 420/621] PLUMEUSDT            rows= 12219  ( 0.1s)
[ 421/621] PLUSDT               rows=   164  ( 0.1s)
[ 422/621] PNUTUSDT             rows= 13943  ( 0.1s)
[ 423/621] POETUSDT             rows=   647  ( 0.1s)
[ 425/621] POLYXUSDT            rows= 23130  ( 0.1s)
[ 424/621] POLUSDT              rows= 15529  ( 0.1s)
[ 426/621] POPCATUSDT           rows= 16501  ( 0.1s)
[ 427/621] POWERUSDT            rows=  4577  ( 0.1s)
[ 428/621] POWRUSDT             rows= 14688  ( 0.1s)
[ 429/621] PRLUSDT              rows=  1796  ( 0.1s)
[ 430/621] PROMUSDT             rows= 12379  ( 0.1s)
[ 431/621] PROSUSDT             rows=  1122  ( 0.1s)
