eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-18,B,032640,LG유플러스,1M,1.448260464685296,0.9,-0.2564102564102564
2026-05-18,A,000670,영풍,1M,2.1673919969667197,0.55,-4.591836734693878
2026-05-18,B,001070,대한방직,1M,0.2841641391393401,0.6,-4.100946372239748
2026-05-18,B,002310,아세아제지,1Q,0.11670071155894976,0.6,-1.686746987951807
2026-05-18,B,100090,SK오션플랜트,1M,1.3114390881106956,0.75,-4.129639309984317
2026-05-18,B,011760,현대코퍼레이션,1W,0.8595476352191831,0.95,-4.243542435424354
2026-05-18,A,002710,TCC스틸,1W,0.5144076639636828,0.4,-3.636363636363636
2026-05-18,B,004440,삼일씨엔에스,1M,1.8316856489838862,0.65,-0.9771986970684038
2026-05-18,B,003480,한진중공업홀딩스,1W,0.7168133741717326,0.65,-1.5706806282722512
2026-05-18,B,000725,현대건설우,1M,1.1471546447979144,0.7,-3.4267912772585665
2026-05-18,B,004840,DRB동일,1M,0.276493854078233,0.55,-3.8539553752535496
2026-05-18,B,000700,유수홀딩스,1M,0.35848024262365963,0.65,-0.8665511265164645
2026-05-18,B,015760,한국전력,1M,2.7339343367806315,0.95,3.98406374501992
2026-05-18,B,462520,조선내화,1W,0.040260353738562064,0.4,-1.171605789110958
2026-05-18,A,003670,포스코퓨처엠,1W,0.7371443474261652,0.85,-3.4482758620689653
2026-05-18,B,096770,SK이노베이션,1M,0.3642781285925297,0.35,-3.0008110300081103
2026-05-18,B,103140,풍산,1Q,5.768284825348066,0.85,0.813953488372093
2026-05-18,B,130660,한전산업,1M,1.215795915859771,0.8,-1.4838709677419355
2026-05-18,B,001130,대한제분,1M,0.18194350085646627,0.65,-6.223776223776223
2026-05-18,B,029780,삼성카드,1M,0.8823315922738751,1.0,0.7172131147540983
2026-05-18,B,210980,SK디앤디,1M,0.8537164713026132,0.5,-0.08110300081103
2026-05-18,B,28513K,SK케미칼우,1M,0.2685460066651763,0.65,-2.6052104208416837
