symbol,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2
OPNUSDT,1d,20,15,2026-06-15,0.0731,0.13174999999999998,-44.51612903225806,-6.834494219142262,low_a(-0.220),-0.21987340614427237,1.486499184970198,0.24145374166461678,0.9621559995683329
OPUSDT,1w,10,10,2026-06-15,0.1085,0.12187999999999999,-10.978011158516566,0.008205464839572407,low_r2(0.20),0.004104216778839039,0.2420234703552855,-3.276081424937505,0.19841842318105707
ORCAUSDT,1w,10,10,2026-06-15,1.137,1.3316000000000001,-14.613998197656963,4.6115170084060075,low_a(-0.398),-0.39757880204769563,7.966989338554227,1.1132648836631642,0.9953099985145409
ORCLUSDT,1w,10,10,2026-06-15,191.83,192.74099999999999,-0.47265501372306673,5.46818569833869,low_a(0.177),0.17687589782267962,1.391645756089026,-0.4371067741155154,0.9924324969544199
ORDERUSDT,1w,10,10,2026-06-15,0.04038,0.049837000000000006,-18.97586130786365,-4.231441803262925,low_a(-0.200),-0.2001596404793211,1.107089527641869,0.30727959747827294,0.965004819210078
ORDIUSDT,1w,10,10,2026-06-15,3.382,4.076300000000001,-17.032603095944864,5.691246629330005,low_a(-0.395),-0.3951171233160574,8.343103940246406,1.1730845035723032,0.9942190066489109
OXYUSDT,1d,20,15,2026-06-15,54.65,57.213,-4.479751105517982,-0.4792262800386138,low_a(-0.011),-0.01102816424805928,0.0021717579423618924,0.007033154558740931,0.9529144484384787
PARTIUSDT,1w,10,10,2026-06-15,0.0557,0.0502,10.956175298804771,-2.9144990040033236,vertex_out(1.27),0.40786495407646617,-9.353217021108811,1.274007885811047,0.9907839667631562
PAXGUSDT,1w,10,10,2026-06-15,4306.25,4525.509,-4.844957771600944,-1.4340012053102535,low_a(0.073),0.07315879952193245,-1.4533576778621975,1.1036552505260924,0.9776855028297703
PENDLEUSDT,1w,10,10,2026-06-15,1.3516,1.51522,-10.798431910877637,4.688536369666152,low_a(-0.127),-0.12659421256499398,4.1881838988508315,1.837974094985056,0.9778003905408262
PENGUUSDT,1w,10,10,2026-06-15,0.007113,0.0082659,-13.947664501143242,1.6515814845786903,low_a(-0.264),-0.26436874322866055,4.714315342400761,0.9906859816806052,0.9912701362688624
PEOPLEUSDT,1w,10,10,2026-06-15,0.005755,0.0068105,-15.498127890756919,-2.320611562898889,low_a(-0.274),-0.27421036662432574,2.6829108693274764,0.5435629793520137,0.8996710759791992
PEPEUSDT,1w,10,10,2026-06-15,2.9442e-06,3.5242199999999998e-06,-16.458109879632932,-3.0008945159292644,low_r2(0.53),-0.15837051823210485,1.5712629818826125,0.5511908962401276,0.5324665765555238
PHAUSDT,1w,10,10,2026-06-15,0.03548,0.034523,2.772065000144819,-1.148207536364676,low_a(-0.273),-0.2729251345771099,3.3748310854274988,0.686967201271495,0.9476889729753859
PIEVERSEUSDT,1w,10,10,2026-06-15,0.70538,0.7758780000000001,-9.086222318457294,5.369387281164584,low_a(-0.230),-0.22980917571970177,5.585630290775669,1.350306370318608,0.9927034692776024
PIPPINUSDT,1w,10,10,2026-06-15,0.01824,0.022595999999999998,-19.27774827403079,-13.33231052470084,ma_not_rising(-13.33%),5.104914696824317,-74.7686131898196,0.8136887863107456,0.9964320698985293
PIUSDT,1w,10,10,2026-06-15,0.1354,0.15556,-12.959629724865007,-4.276659897852431,low_a(-0.208),-0.2077015881827149,0.14595162908053386,0.03903881481481242,0.962963336446919
PIXELUSDT,1w,10,10,2026-06-15,0.005696,0.006925499999999999,-17.75323081365966,-3.042224337794719,low_r2(0.76),-0.5549473921425143,4.677468649169168,0.4682594658117673,0.7631022831351001
PLTRUSDT,1w,10,10,2026-06-15,134.63,140.618,-4.258345304299594,-0.6352593681324459,low_r2(0.58),-0.034564855670927,0.06739293402606203,0.10831961591223875,0.5791364146341179
PLUMEUSDT,1w,10,10,2026-06-15,0.01137,0.012487,-8.945303115239845,2.3608492499385125,low_a(-0.084),-0.08384572748578613,2.4308788896197897,1.6106822762554411,0.9614340362223098
PNUTUSDT,1w,10,10,2026-06-15,0.04503,0.052851,-14.798206278026903,1.8539574861724084,low_a(-0.144),-0.14421771368019587,3.3173087329675215,1.2778938516386587,0.9844721586518527
POLUSDT,1w,10,10,2026-06-15,0.07789,0.08878,-12.266276188330705,-1.941726126046528,low_a(-0.002),-0.001603475391524841,-0.7014590653260259,-24.30342759211867,0.9486395155225719
POLYXUSDT,1w,10,10,2026-06-15,0.04117,0.048208999999999995,-14.601008110518777,-3.042918627569302,low_a(-0.272),-0.2724740410458271,3.697165034385973,0.7538261504747961,0.9002091584125533
POPCATUSDT,1w,10,10,2026-06-15,0.04406,0.054345,-18.925384119974233,-2.128694148792476,low_a(-0.322),-0.3215455179193059,3.7037883882913105,0.6399281286930515,0.9446747313519926
POWERUSDT,1w,10,10,2026-06-15,0.07949,0.08142,-2.3704249570130176,-3.8225288225288145,ma_not_rising(-3.82%),3.8185708433082532,-52.69787309271784,0.766689878594919,0.8907660356719649
POWRUSDT,1w,10,10,2026-06-15,0.05031,0.059963999999999996,-16.099659795877518,-4.578221224996437,low_a(-0.188),-0.18750583464232476,1.354666235265561,0.4013700983550262,0.8554938368230393
