symbol,last_close,today_chg,today_amount,vol_ratio_1d,ch_score,ret_30d,ret_90d,from_high_1y,has_1h,ch_pct,거래대금,today_chg_str,vol_x
LUNCUSDT,8.127e-05,0.016129032258064502,1976565.54381426,0.31225973449094574,29.0,0.5743897714064317,1.3454545454545452,-0.2941023191175194,True,25.2,$2.0M,1.61%,0.3
UNHUSDT,387.09,0.002590069672874229,17647.4331,0.09223871598204189,28.0,0.09236369793430388,0.4124794745484399,,True,24.3,$18K,0.26%,0.1
HUMAUSDT,0.02534,-0.0023622047244094,632825.90532,0.9455601071939794,28.0,-0.0120857699805067,1.224758560140474,-0.3208255159474672,True,24.3,$633K,-0.24%,0.9
HUSDT,0.24962,0.10178319209039555,4127551.8204200002,0.8119231582308085,28.0,0.6535506094329624,0.7397546696403681,-0.3419623556703748,True,24.3,$4.1M,10.18%,0.8
AMZNUSDT,269.54,0.0018584597085935517,657723.4218000001,0.4806571149286327,28.0,0.02102352361831894,0.29040597472232865,-0.01964064886884398,True,24.3,$658K,0.19%,0.5
BICOUSDT,0.02628,-0.05433609211946733,214265.80692,1.1265993552167985,27.0,0.010769230769230864,0.28697355533790403,-0.7482758620689656,True,23.5,$214K,-5.43%,1.1
JTOUSDT,0.509,0.013540422142572783,3983934.856,0.5976421369828281,26.0,0.47365373480023165,0.8309352517985611,-0.7521305088872656,True,22.6,$4.0M,1.35%,0.6
CRCLUSDT,115.06,-0.005359612724758045,1345128.4902000001,0.06964133429402684,26.0,0.1561495176848875,0.8624150210424086,-0.23811415706528938,True,22.6,$1.3M,-0.54%,0.1
HOMEUSDT,0.023,0.0,671714.0109999999,0.5112975357251122,26.0,0.43660212367270446,-0.2112482853223594,-0.42571785268414486,True,22.6,$672K,0.0%,0.5
CATIUSDT,0.05555,-0.020627644569816583,454897.56125,1.320867898185243,25.0,0.1819148936170214,0.4541884816753927,-0.409984067976633,True,21.7,$455K,-2.06%,1.3
PLUMEUSDT,0.01421,-0.054557551563539586,2240990.1815,1.4360402068292946,25.0,0.06044776119402995,0.5632563256325631,-0.8837247361099746,True,21.7,$2.2M,-5.46%,1.4
IDOLUSDT,0.02551,-0.013152804642166394,38771.09289,0.19814897905928155,25.0,0.123293703214443,0.1465168539325843,-0.35039470333587974,True,21.7,$39K,-1.32%,0.2
BANUSDT,0.09081,-0.06275157394983999,933881.32224,1.3429415578607018,23.0,-0.05475174352034973,-0.2741587403085285,-0.46572924633758905,True,20.0,$934K,-6.28%,1.3
ERAUSDT,0.1482,0.16601101494885917,9451247.6682,56.754343037270736,23.0,0.006109979633401208,0.04513399153737652,-0.8012339055793991,True,20.0,$9.5M,16.6%,56.8
ASTERUSDT,0.6912,-0.01873935264054516,6606463.3344,0.9195220438560749,23.0,0.06224066390041516,-0.004464928705170679,,True,20.0,$6.6M,-1.87%,0.9
JCTUSDT,0.003517,-0.04247209365641158,1269563.2907140001,0.7704072900959698,22.0,0.28922287390029333,1.1199517781796264,,True,19.1,$1.3M,-4.25%,0.8
CUSDT,0.0948,0.08491645685511551,646118.2163999999,0.9327704041648387,22.0,0.14672795451796294,0.7859834212509418,-0.6529379461834157,True,19.1,$646K,8.49%,0.9
MTLUSDT,0.2985,-0.02419091206276569,119231.5863,0.4414861408268723,21.0,-0.0020060180541624506,0.148076923076923,-0.5937117190690078,True,18.3,$119K,-2.42%,0.4
VIRTUALUSDT,0.7754,0.048688125507168056,5574380.0652,0.7263457900641098,21.0,0.10866456963111237,0.28122934567085256,-0.5767005131564582,True,18.3,$5.6M,4.87%,0.7
DYMUSDT,0.02615,-0.002669717772692648,876639.616525,0.21060543460872805,19.0,0.3991439272338151,-0.3096620908130939,-0.8912681912681912,True,16.5,$877K,-0.27%,0.2
ICXUSDT,0.03707,0.009531590413943247,38451.48769,0.43574486912261845,19.0,-0.03008895866038719,0.04129213483146055,-0.7229653986996487,True,16.5,$38K,0.95%,0.4
