Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2019-04-08,46650,278.4903559575,43.8908,6.345073590763897,77900,56.7113842335,15.5401,3.6493577411664013
2019-04-09,46650,278.4903559575,43.8908,6.345073590763897,77800,56.638583997,15.5401,3.6446730714088065
2019-04-10,46700,278.788845085,43.8908,6.351874312726129,78600,57.220985889,15.5401,3.6821504294695657
2019-04-11,46250,276.1024429375,43.8908,6.290667815066027,78400,57.075385416,15.5401,3.672781089954376
2019-04-12,46850,279.6843124675,43.8908,6.37227647861283,78100,56.8569847065,15.5401,3.6587270806815915
2019-04-15,47050,280.8782689775,43.8908,6.399479366461764,79700,58.0217884905,15.5401,3.733681796803109
2019-04-16,47250,282.0722254875,43.8908,6.426682254310699,80400,58.531390146,15.5401,3.7664744851062735
2019-04-17,47050,280.8782689775,43.8908,6.399479366461764,80200,58.385789673,15.5401,3.7571051455910833
2019-04-18,45600,272.22208428,43.8908,6.202258429556991,79200,57.657787308,15.5401,3.7102584480151353
2019-04-19,45300,270.431149515,43.8908,6.161454097783591,81800,59.550593457,15.5401,3.8320598617126014
2019-04-22,45350,270.7296386425,43.8908,6.168254819745823,80500,58.6041903825,15.5401,3.7711591548638683
2019-04-23,45200,269.83417126,43.8908,6.147852653859124,81000,58.968191565,15.5401,3.794582503651842
2019-04-24,44750,267.1477691125,43.8908,6.086646156199021,78500,57.1481856525,15.5401,3.6774657597119704
2019-04-25,44650,266.5507908575,43.8908,6.0730447122745534,80200,58.385789673,15.5401,3.7571051455910833
2019-04-26,44850,267.7447473675,43.8908,6.100247600123488,78600,57.220985889,15.5401,3.6821504294695657
2019-04-29,46150,275.5054646825,43.8908,6.277066371141561,80000,58.2401892,15.5401,3.747735806075894
2019-04-30,45850,273.7145299175,43.8908,6.236262039368159,79000,57.512186835,15.5401,3.700889108499945
2019-05-02,45900,274.013019045,43.8908,6.2430627613303935,80700,58.7497908555,15.5401,3.780528494379058
2019-05-03,45300,270.431149515,43.8908,6.161454097783591,80400,58.531390146,15.5401,3.7664744851062735
2019-05-07,44850,267.7447473675,43.8908,6.100247600123488,79900,58.1673889635,15.5401,3.743051136318299
2019-05-08,44250,264.1628778375,43.8908,6.018638936576686,80300,58.4585899095,15.5401,3.761789815348678
2019-05-09,42450,253.4172692475,43.8908,5.773812945936278,76000,55.32817974,15.5401,3.560349015772099
2019-05-10,42900,256.103671395,43.8908,5.83501944359638,74400,54.163375956,15.5401,3.4853942996505816
2019-05-13,42650,254.6112257575,43.8908,5.801015833785212,73500,53.5081738275,15.5401,3.4432322718322275
2019-05-14,42650,254.6112257575,43.8908,5.801015833785212,74600,54.308976429,15.5401,3.494763639165771
2019-05-15,42550,254.0142475025,37.3865,6.794277279298678,74500,54.2361761925,13.5226,4.010780189645482
2019-05-16,41550,248.0444649525,37.3865,6.634599787423268,71900,52.3433700435,13.5226,3.87080665282564
2019-05-17,41200,245.95504106,37.3865,6.578712665266875,71600,52.124969334,13.5226,3.854655860115658
